"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"12538","Wrench","Dec 19, 2018","$29.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Missing Digit","Missing Digit"
"12541","Uncrashed : FPV Drone Simulator","Sep 1, 2021","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Louis Rochette","Louis Rochette"
"12542","TT Isle of Man: Ride on the Edge 2","Mar 19, 2020","$29.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","KT Racing","Nacon"
"12543","Cooking Simulator VR","Jul 29, 2021","$24.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","GameBoom VR","Big Cheese Studio, PlayWay S.A."
"12544","X-Plane 12","Dec 17, 2022","$59.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Laminar Research","Laminar Research"
"12547","九州：商旅（Nine Provinces: Caravan）","Feb 26, 2021","$8.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","BigLight.Games, Xbgzs","BigLight.Games, Electronic Sheep Games"
"12549","Grey Hack","Dec 14, 2017","$19.99","N/A (N/A)","50,000 .. 100,000","00:02 (00:01)","Loading Home","Loading Home"
"12550","Tiny Combat Arena","Feb 22, 2022","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Why485, MicroProse Software","MicroProse Software"
"12552","Sigma Theory: Global Cold War","Nov 21, 2019","$17.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Mi-Clos Studio, Goblinz Studio, FibreTigre","Goblinz Publishing, Fractale"
"12553","Sunrider Academy","Apr 15, 2015","$9.99","N/A (N/A)","50,000 .. 100,000","00:43 (00:14)","Love in Space","Sekai Project"
"12554","Accident","Sep 21, 2021","$7.49","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Duality Games, Glob Games Studio","Duality Games, PlayWay S.A., HeartBeat Games"
"12561","Main Assembly","Jan 26, 2021","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Bad Yolk Games","Team17"
"12565","Particle Fleet: Emergence","Sep 29, 2016","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Knuckle Cracker","Knuckle Cracker"
"12568","Truck and Logistics Simulator","Jun 23, 2020","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Simula Games","Aerosoft GmbH"
"12569","Hentai Asmodeus","Oct 24, 2019","$0.79","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","HEGA Studio","HappyGames"
"12579","Rail Route","Jun 23, 2021","$19.99","N/A (N/A)","50,000 .. 100,000","00:01 (00:01)","Bitrich.info","Bitrich.info"
"12581","Out of the Park Baseball 20","Mar 22, 2019","N/A","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Out of the Park Developments","Out of the Park Developments"
"12584","The Light Remake","Jun 4, 2020","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Носков Сергей","Носков Сергей"
"12588","Shortest Trip to Earth","Aug 15, 2019","$24.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Interactive Fate","Iceberg Interactive"
"12590","Idle Calibur","Jan 14, 2022","$7.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","绝汪","DreamStep, 绝汪"
"12591","STAND OUT : VR Battle Royale","May 17, 2019","$24.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","raptor lab","raptor lab"
"12593","To The Rescue!","Nov 2, 2021","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Little Rock Games","Freedom Games"
"12596","Capybara Spa","Mar 14, 2022","$7.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Cozy Bee Games","Cozy Bee Games"
"12599","Climbey","Jan 8, 2022","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Brian Lindenhof","ShadowBrain Games"
"12601","MewnBase","Dec 7, 2018","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Cairn4","Cairn4"
"12602","Insomnia: Theater in the Head","Dec 15, 2022","$2.49","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Perfect Day Studio","Perfect Day Studio"
"12608","UnReal World","Feb 26, 2016","$10.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Sami Maaranen (creator), Erkka Lehmus (co-designer)","Enormous Elk"
"12610","Love n War: Warlord by Chance","May 28, 2021","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Reborn Entertainment","Reborn Entertainment"
"12611","FlowScape","Aug 15, 2019","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Pixel Forest Games","Pixel Forest Games"
"12614","Freeways","Feb 6, 2018","$3.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Captain Games","Captain Games"
"12617","Interstellar Rift","Sep 24, 2020","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Split Polygon","Iceberg Interactive"
"12619","Plan B: Terraform","Feb 15, 2023","$9.99","N/A (N/A)","50,000 .. 100,000","00:21 (00:07)","Gaddy Games","Gaddy Games"
"12620","Tracks - The Train Set Game","Nov 14, 2019","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Whoop Group","Excalibur Games"
"12625","Fight Angel Special Edition","Dec 20, 2019","$5.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Red Fox","Red Fox"
"12631","Demolish & Build 2018","Mar 8, 2018","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Noble Muffins","Demolish Games S.A."
"12635","Animalia Survival","Sep 9, 2021","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","High Brazil Studio","High Brazil Studio"
"12637","CUSTOM ORDER MAID 3D2 It's a Night Magic","Jul 30, 2019","$40","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","KISS","S-court"
"12639","Nexomon","Jul 10, 2020","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","VEWO Interactive Inc.","VEWO Interactive Inc."
"12641","Fishing Adventure","Nov 1, 2019","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","MasterCode","Ultimate Games S.A."
"12642","Atlantic Fleet","Feb 25, 2016","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Killerfish Games","Killerfish Games"
"12645","Catlateral Damage","May 27, 2015","$2.49","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Manekoware, Fire Hose Games","Manekoware"
"12647","Hiveswap Friendsim","Apr 13, 2018","$12.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","What Pumpkin Games, Inc.","Fellow Traveller"
"12649","PGA TOUR 2K23","Oct 13, 2022","$39.99","N/A (N/A)","50,000 .. 100,000","01:03 (00:31)","HB Studios","2K"
"12650","Professional Farmer: Cattle and Crops","Jun 9, 2017","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Masterbrain Bytes","Masterbrain Bytes, Toplitz Productions"
"12653","WWE 2K23","Mar 16, 2023","$59.99","N/A (N/A)","50,000 .. 100,000","02:31 (01:15)","Visual Concepts","2K"
"12656","Cat Cafe Manager","Apr 14, 2022","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Roost Games","Freedom Games"
"12658","Kitty Powers' Matchmaker","Apr 22, 2015","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Magic Notion Ltd","Magic Notion Ltd"
"12660","Sapiens","Jul 26, 2022","$24.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Majic Jungle","Majic Jungle"
"12661","I Am Fish","Sep 16, 2021","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Bossa Studios","Curve Games"
"12665","WRC Generations – The FIA WRC Official Game","Nov 3, 2022","$39.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","KT Racing","Nacon"
"12667","House Builder","Nov 11, 2021","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","FreeMind S.A.","PlayWay S.A., FreeMind S.A."
"12668","School Years","Oct 5, 2019","$11.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","YEARS","电钮组"
"12671","HARVESTELLA","Nov 4, 2022","$59.99","N/A (N/A)","50,000 .. 100,000","00:29 (00:09)","Square Enix","Square Enix"
"12679","Winkeltje: The Little Shop","Apr 22, 2022","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Sassybot","Sassybot"
"12681","WRC 10 FIA World Rally Championship","Sep 2, 2021","$49.99","N/A (N/A)","50,000 .. 100,000","03:48 (01:16)","KT Racing","Nacon"
"12682","War Dust VR: 32v32 Battlefields","May 6, 2020","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","raptor lab","raptor lab"
"12683","Among Trees","Nov 10, 2021","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","FJRD Interactive","FJRD Interactive"
"12688","ScooterFlow","Nov 29, 2021","$13.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Dillon Earle","UncannyKiwi"
"12694","SimRail - The Railway Simulator","Jan 13, 2023","$34.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","SimRail S.A.","PlayWay S.A."
"12695","Lovelorn sanatoriumⅠ","Nov 11, 2022","$7.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","TUTGame","DSGame"
"12696","Fly Corp","May 28, 2021","$7.19","N/A (N/A)","50,000 .. 100,000","01:29 (00:44)","KishMish Games","KishMish Games"
"12698","Crystalline","Aug 22, 2018","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","PixelFade","PixelFade"
"12700","Evil Bank Manager","Dec 8, 2018","$11.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Hamsters Gaming","Hamsters Gaming"
"12705","Wrestling Empire","Jul 2, 2021","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","MDickie","MDickie"
"12708","TramSim Vienna - The Tram Simulator","Oct 29, 2020","$34.99","N/A (N/A)","50,000 .. 100,000","04:39 (04:39)","ViewApp","Aerosoft GmbH"
"12709","Timeflow – Life Sim","Jan 1, 2019","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Look Book Inc","Look Book Inc"
"12715","Max Gentlemen Sexy Business!","Feb 25, 2020","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","The Men Who Wear Many Hats","The Men Who Wear Many Hats"
"12716","Hentai Crush","Mar 14, 2019","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Mature Games","Mature Games"
"12717","Roman's Christmas / 罗曼圣诞探案集","Feb 19, 2020","$10.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","SelfCrop Studio","Milk Bottle Studio"
"12718","ЕСТЬ ДВА СТУЛА","Jun 19, 2018","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Censored","Kavkaz Sila Games"
"12719","Trainz Railroad Simulator 2019","Jan 7, 2019","$39.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","N3V Games","N3V Games"
"12720","Lawn Mowing Simulator","Aug 10, 2021","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Skyhook Games","Curve Games"
"12721","MotoGP21","Apr 22, 2021","$39.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"12733","Storm Chasers","Jun 28, 2019","$12.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Little Cloud Games","Little Cloud Games"
"12735","Die Young","Sep 12, 2019","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","IndieGala","IndieGala"
"12739","Airborne Kingdom","Mar 7, 2022","$24.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","The Wandering Band LLC","Freedom Games"
"12742","I Can't Believe It's Not Gambling","Dec 11, 2017","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Mutant Entertainment Studios","Mutant Entertainment Studios"
"12745","Between the Stars","May 28, 2019","$29.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Isolated Games","Isolated Games, Poysky Productions, WhisperGames"
"12747","TheoTown","Jun 5, 2019","$7.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Lobby Divinus","blueflower"
"12748","Out of the Park Baseball 22","Mar 26, 2021","N/A","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Out of the Park Developments","Out of the Park Developments"
"12749","SpaceBourne 2","Feb 17, 2023","$19.99","N/A (N/A)","50,000 .. 100,000","26:53 (26:46)","Burak Dabak","Burak Dabak"
"12751","Bum Simulator","Aug 26, 2021","$17.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Ragged Games","Ragged Games, PlayWay S.A."
"12753","Wolfpack","Mar 15, 2019","$34.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Usurpator AB","SUBSIM"
"12759","DRIFT21","Jun 10, 2021","$29.99","N/A (N/A)","50,000 .. 100,000","00:20 (00:13)","ECC GAMES","505 Games"
"12766","Hentai Girl Linda","Dec 7, 2018","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","GirlGames","GirlGames"
"12773","CUCKOLD SIMULATOR: Life as a Beta Male Cuck","May 1, 2021","$3.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Team SNEED","Team SNEED"
"12774","Jet Island","Sep 21, 2018","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Master Indie","Master Indie"
"12778","Out of the Park Baseball 21","Mar 20, 2020","N/A","N/A (N/A)","50,000 .. 100,000","00:19 (00:09)","Out of the Park Developments","Out of the Park Developments"
"12784","Shredders","Mar 16, 2022","$29.99","N/A (N/A)","50,000 .. 100,000","02:06 (00:42)","FoamPunch","FoamPunch"
"12787","Fishing: North Atlantic - Enhanced Edition","Oct 16, 2020","$34.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Misc Games","Misc Games"
"12788","Just Go","Aug 9, 2022","$9.99","N/A (N/A)","50,000 .. 100,000","66:13 (22:04)","Studio Amateur","Studio Amateur"
"12792","Cepheus Protocol","May 15, 2020","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Halcyon Winds","Halcyon Winds"
"12794","Predynastic Egypt","Oct 10, 2016","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Clarus Victoria","Clarus Victoria"
"12795","Animal Shelter","Mar 23, 2022","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Games Incubator","Games Incubator, PlayWay S.A."
"12797","I Was a Teenage Exocolonist","Aug 25, 2022","$24.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Northway Games","Finji"
"12798","Lumberjack's Dynasty","Feb 25, 2021","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","UMEO Studios","Toplitz Productions"
"12800","The Last Haven","Feb 17, 2023","$11.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Thunder Devs.","Thunder Devs."
"12802","我来自江湖 From Jianghu","Jul 24, 2020","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Gamexel Studio","INDIECN"
"12807","Knights College","Jan 15, 2021","$24.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","KAIJYU-09","KAIJYU-09"
"12808","DORAEMON  STORY OF SEASONS","Oct 10, 2019","$49.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Marvelous Inc., Brownies Inc.","BANDAI NAMCO Entertainment"
"12810","Distant Worlds 2","Mar 10, 2022","$49.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","CodeForce","Slitherine Ltd."
"12819","Hentai Girl Hime","Nov 6, 2018","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","GirlGames","GirlGames"
"12823","Immortal Life","Apr 27, 2022","$16.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","YiFang Studio","2P Games"
"12824","Initial Drift Online","Mar 30, 2023","$4.99","N/A (N/A)","50,000 .. 100,000","00:08 (00:02)","RewindApp","RewindApp"
"12826","Out of Reach","Jul 13, 2018","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Space Boat Studios","Space Boat Studios"
"12829","[Chilla's Art] The Convenience Store | 夜勤事件","Feb 17, 2020","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Chilla's Art","Chilla's Art"
"12833","Cloud Gardens","Sep 1, 2021","$17.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Noio","Noio"
"12834","Flotsam","Sep 26, 2019","$24.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Pajama Llama Games","Pajama Llama Games"
"12835","Carrier Command 2","Aug 10, 2021","$29.99","N/A (N/A)","50,000 .. 100,000","00:10 (00:03)","Geometa","MicroProse Software"
"12836","Peace, Death!","Mar 24, 2017","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","AZAMATIKA","AZAMATIKA"
"12839","Train Sim World 3","Sep 6, 2022","$19.99","N/A (N/A)","50,000 .. 100,000","02:52 (01:23)","Dovetail Games","Dovetail Games - TSW"
"12844","Papa's Freezeria Deluxe","Mar 31, 2023","$5.99","N/A (N/A)","50,000 .. 100,000","03:35 (03:55)","Flipline Studios","Flipline Studios"
"12845","Tourist Bus Simulator","Dec 6, 2018","$29.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","TML-Studios, PEDEPE","Aerosoft GmbH"
"12847","Gachi Heroes","Oct 26, 2018","$0.28","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Lohsoft","Lohsoft"
"12863","Angels Fall First","Oct 1, 2015","$17.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Strangely Interactive Ltd","Strangely Interactive Ltd"
"12865","Sucker for Love: First Date","Jan 20, 2022","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Akabaka","DreadXP"
"12866","Monster Prom 3: Monster Roadtrip","Oct 21, 2022","$11.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Beautiful Glitch","Beautiful Glitch"
"12867","MMORPG Tycoon 2","Jan 6, 2020","$24.99","N/A (N/A)","50,000 .. 100,000","01:06 (00:22)","VectorStorm Pty Ltd","VectorStorm Pty Ltd"
"12868","Garden Paws","Dec 18, 2018","$19.99","N/A (N/A)","50,000 .. 100,000","00:13 (00:04)","Bitten Toast Games Inc.","Bitten Toast Games Inc."
"12895","My Name is Mayo","Feb 15, 2016","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Green Lava Studios","Green Lava Studios"
"12896","恋爱绮谭~不存在的夏天~","Oct 31, 2020","$8.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Never Knows Best","Never Knows Best"
"12901","Sailing Era","Jan 11, 2023","$24.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","GY Games","bilibili"
"12903","Wild Animal Racing","Mar 7, 2016","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Paul Bird","Marjupi Games"
"12908","Kanjozoku Game レーサー Online Street Racing & Drift","Jul 16, 2022","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","SG DEV","SG DEV"
"12917","Master Of Pottery","Nov 11, 2019","$3.05","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","AZGames","AZGames"
"12919","Three Kingdoms The Last Warlord","Feb 4, 2021","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","LongYou Game Studio","LongYou Tech Ltd"
"12926","Longvinter","Feb 24, 2022","$17.99","N/A (N/A)","50,000 .. 100,000","00:55 (00:18)","Uuvana Studios","Uuvana Studios"
"12937","Spaceflight Simulator","Feb 17, 2022","$11.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Stefo Mai Morojna","Stefo Mai Morojna"
"12952","One Hour One Life","Nov 8, 2018","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Jason Rohrer","Jason Rohrer"
"12963","Mr.President!","Oct 10, 2016","$9.99","N/A (N/A)","50,000 .. 100,000","00:44 (00:14)","Game Developer X","Game Developer X"
"13055","Marco & The Galaxy Dragon","Feb 28, 2020","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","TOKYOTOON","Shiravune"
"13072","Dictators:No Peace Countryballs","Jan 1, 2020","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","RPN Indie Developer","RPN Indie Developer"
"2","Out of the Park Baseball 17","Mar 22, 2016","N/A","N/A (N/A/92%)","20,000 .. 50,000","00:00 (00:00)","Out of the Park Developments","Out of the Park Developments"
"16","Six Ages: Ride Like the Wind","Oct 17, 2019","$19.99","N/A (N/A/87%)","20,000 .. 50,000","00:00 (00:00)","A Sharp","Kitfox Games"
"27","Atelier Ryza 3: Alchemist of the End & the Secret Key","Mar 23, 2023","$59.99","N/A (N/A/86%)","20,000 .. 50,000","00:00 (00:00)","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
"39","Falcon 4.0","Jan 8, 2016","$6.99","N/A (N/A/85%)","20,000 .. 50,000","00:00 (00:00)","Microprose","Retroism"
"44","Green Hell VR","Jun 9, 2022","$16.24","N/A (N/A/84%)","20,000 .. 50,000","00:00 (00:00)","Incuvo","Incuvo"
"45","Field of Glory II","Oct 12, 2017","$29.99","N/A (N/A/84%)","20,000 .. 50,000","00:00 (00:00)","Byzantine Games","Slitherine Ltd."
"46","Fuga: Melodies of Steel","Jul 28, 2021","$39.99","N/A (N/A/84%)","20,000 .. 50,000","00:00 (00:00)","CyberConnect2","CyberConnect2"
"61","F1 2011","Jan 1, 1986","N/A","N/A (N/A/83%)","20,000 .. 50,000","00:00 (00:00)","Codemasters Birmingham","Codemasters"
"83","The King's Dilemma: Chronicles","Jan 30, 2023","$14.99","N/A (N/A/83%)","20,000 .. 50,000","00:00 (00:00)","Big Trouble","Big Trouble"
"84","B-17 Flying Fortress: The Mighty 8th","Oct 30, 2014","$9.99","N/A (N/A/82%)","20,000 .. 50,000","00:00 (00:00)","Wayward Design","MicroProse Software"
"87","The Ramp","Aug 3, 2021","$5.99","N/A (N/A/82%)","20,000 .. 50,000","00:00 (00:00)","Paul Schnepf","hyperparadise"
"98","Codename: Panzers, Phase One","Jun 16, 2004","$14.99","N/A (N/A/81%)","20,000 .. 50,000","00:00 (00:00)","Stormregion, THQ Nordic","THQ Nordic"
"123","Monster Energy Supercross - The Official Videogame 2","Feb 8, 2019","$19.99","N/A (N/A/80%)","20,000 .. 50,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"125","When Ski Lifts Go Wrong","Jan 23, 2019","$2.99","N/A (N/A/80%)","20,000 .. 50,000","00:00 (00:00)","Hugecalf Studios","Curve Games"
"140","Bowl Bound College Football","Sep 3, 2015","$19.99","N/A (N/A/80%)","20,000 .. 50,000","00:00 (00:00)","Grey Dog Software","Viva Meda"
"162","The Infectious Madness of Doctor Dekker","May 19, 2017","$4.49","N/A (N/A/78%)","20,000 .. 50,000","00:00 (00:00)","D'Avekki Studios Ltd","D'Avekki Studios Ltd"
"188","WRC 8 FIA World Rally Championship","Sep 8, 2020","$29.99","N/A (N/A/77%)","20,000 .. 50,000","00:00 (00:00)","KT Racing","Nacon"
"204","Tinytopia","Aug 30, 2021","$2.99","N/A (N/A/76%)","20,000 .. 50,000","00:00 (00:00)","MeNic Games","Mastiff"
"205","GoD Factory: Wingmen","Aug 29, 2014","$19.99","N/A (N/A/76%)","20,000 .. 50,000","00:00 (00:00)","Nine Dots Studio","Nine Dots Studio"
"208","Polaris Sector","Mar 22, 2016","$39.99","N/A (N/A/76%)","20,000 .. 50,000","00:00 (00:00)","SoftWarWare","Slitherine Ltd."
"209","Trolley Problem, Inc.","Apr 21, 2022","$10.99","N/A (N/A/76%)","20,000 .. 50,000","00:00 (00:00)","Read Graves","Yogscast Games"
"210","STORY OF SEASONS: Pioneers of Olive Town","Sep 15, 2021","$39.99","N/A (N/A/76%)","20,000 .. 50,000","00:00 (00:00)","Marvelous Inc.","XSEED Games, Marvelous USA, Inc., Marvelous"
"228","Endling - Extinction is Forever","Jul 19, 2022","$29.99","N/A (N/A/75%)","20,000 .. 50,000","00:00 (00:00)","Herobeat Studios","HandyGames"
"247","Bad Mojo Redux","Jul 3, 2014","$5.99","N/A (N/A/74%)","20,000 .. 50,000","00:00 (00:00)","Pulse Entertainment","Nightdive Studios"
"248","Eagle Flight","Dec 20, 2016","$19.99","N/A (N/A/74%)","20,000 .. 50,000","00:00 (00:00)","Ubisoft Montreal Studio","Ubisoft"
"251","Crookz - The Big Heist","Aug 25, 2015","$9.99","N/A (N/A/74%)","20,000 .. 50,000","00:00 (00:00)","Skilltree Studios","Kalypso Media Digital"
"254","CRIMESIGHT","Apr 14, 2022","N/A","N/A (N/A/74%)","20,000 .. 50,000","00:00 (00:00)","Konami Digital Entertainment","Konami Digital Entertainment"
"255","Insurmountable","Apr 29, 2021","$24.99","N/A (N/A/74%)","20,000 .. 50,000","00:00 (00:00)","ByteRockers' Games","Daedalic Entertainment"
"271","Ceres","Oct 16, 2015","$19.99","N/A (N/A/74%)","20,000 .. 50,000","00:00 (00:00)","Jötunn Games","Iceberg Interactive"
"275","Grimmwood - They Come at Night","Aug 2, 2018","N/A","N/A (N/A/73%)","20,000 .. 50,000","00:00 (00:00)","Big Moustache Games","Headup Publishing, Whisper Games"
"303","Purrfect Date - Visual Novel/Dating Simulator","Dec 15, 2017","$9.99","N/A (N/A/72%)","20,000 .. 50,000","00:00 (00:00)","Bae Team","Bossa Studios"
"305","Valentino Rossi The Game","Jun 16, 2016","$1.49","N/A (N/A/72%)","20,000 .. 50,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"311","Monster Energy Supercross - The Official Videogame 3","Feb 4, 2020","$24.99","N/A (N/A/72%)","20,000 .. 50,000","00:43 (00:21)","Milestone S.r.l.","Milestone S.r.l."
"325","To End All Wars","Aug 29, 2014","$39.99","N/A (N/A/71%)","20,000 .. 50,000","00:00 (00:00)","Ageod","Slitherine Ltd."
"348","Echelon","Jul 3, 2014","$3.99","N/A (N/A/70%)","20,000 .. 50,000","00:00 (00:00)","MADia Entertainment","ESDigital Games"
"351","Steel Armor: Blaze of War","Mar 5, 2015","$29.99","N/A (N/A/70%)","20,000 .. 50,000","00:00 (00:00)","Graviteam","Graviteam"
"356","Tech Support: Error Unknown","Feb 27, 2019","Free","N/A (N/A/70%)","20,000 .. 50,000","00:00 (00:00)","Dragon Slumber","Iceberg Interactive"
"362","Boyfriend Dungeon","Aug 11, 2021","$19.99","N/A (N/A/70%)","20,000 .. 50,000","00:00 (00:00)","Kitfox Games","Kitfox Games"
"373","Panzer Tactics HD","May 22, 2014","$9.99","N/A (N/A/69%)","20,000 .. 50,000","00:00 (00:00)","Sproing","THQ Nordic"
"403","Pure Pool","Jul 31, 2014","$9.99","N/A (N/A/68%)","20,000 .. 50,000","00:00 (00:00)","VooFoo Studios","Ripstone"
"422","Tycoon City: New York","Mar 12, 2008","$9.99","N/A (N/A/67%)","20,000 .. 50,000","00:00 (00:00)","","Retroism"
"425","Help Will Come Tomorrow","Apr 21, 2020","$19.99","N/A (N/A/67%)","20,000 .. 50,000","00:00 (00:00)","Arclight Creations","Klabater"
"437","Light of Altair","Jun 4, 2009","$14.99","N/A (N/A/66%)","20,000 .. 50,000","00:00 (00:00)","SaintXi","SaintXi"
