"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"37","DiRT Rally","Dec 7, 2015","N/A","N/A (N/A/86%)","2,000,000 .. 5,000,000","00:00 (00:00)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac), Electronic Arts"
"38","Oxygen Not Included","Jul 30, 2019","$24.99","N/A (N/A/86%)","2,000,000 .. 5,000,000","02:53 (01:27)","Klei Entertainment","Klei Entertainment"
"41","Assetto Corsa","Dec 19, 2014","$3.99","N/A (N/A/85%)","2,000,000 .. 5,000,000","04:14 (02:48)","Kunos Simulazioni","Kunos Simulazioni"
"57","SPORE","Dec 19, 2008","$4.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","03:19 (03:08)","Maxis™","Electronic Arts"
"59","FTL: Faster Than Light","Sep 14, 2012","$9.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","13:32 (13:32)","Subset Games","Subset Games"
"60","Frostpunk","Apr 24, 2018","$29.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","09:00 (11:56)","11 bit studios","11 bit studios"
"78","This War of Mine","Nov 14, 2014","$19.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","02:30 (03:19)","11 bit studios","11 bit studios"
"93","Sins of a Solar Empire: Rebellion","Jun 12, 2012","$39.99","N/A (N/A/82%)","2,000,000 .. 5,000,000","19:44 (09:57)","Ironclad Games, Stardock Entertainment","Stardock Entertainment"
"96","Crusader Kings II","Feb 14, 2012","Free","N/A (N/A/82%)","2,000,000 .. 5,000,000","09:36 (15:40)","Paradox Development Studio","Paradox Interactive"
"113","Age of Empires III (2007)","Jan 5, 2012","$39.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","00:21 (00:07)","Ensemble Studios","Xbox Game Studios"
"117","Northgard","Mar 7, 2018","$29.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","05:20 (05:45)","Shiro Games","Shiro Unlimited"
"118","Planet Zoo","Nov 5, 2019","$11.24","N/A (N/A/81%)","2,000,000 .. 5,000,000","06:46 (11:03)","Frontier Developments","Frontier Developments"
"136","Football Manager 2017","Nov 3, 2016","N/A","N/A (N/A/80%)","2,000,000 .. 5,000,000","01:15 (00:25)","Sports Interactive","SEGA"
