Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Airi's World,2017-07-13,,"0 .. 20,000",Artbox Games,Artbox Games,0.00E+00,2.00E+04,0,20.0K
The Pirates of Sector 7,2018-06-01,0.0,"0 .. 20,000",Kneeling Bean Studios,Legacy Gameworks,0.00E+00,2.00E+04,0,20.0K
The Broston Saga,2020-04-25,0.0,"0 .. 20,000",SurvivalMyths,SurvivalMyths,0.00E+00,2.00E+04,0,20.0K
Cruel Galaxy: Discordia,2020-06-30,0.0,"0 .. 20,000",Fatal Error Games,Fatal Error Games,0.00E+00,2.00E+04,0,20.0K
Knight`s Pride,2020-09-26,,"0 .. 20,000",Renan Miguelote Vianna,Renan Miguelote Vianna,0.00E+00,2.00E+04,0,20.0K
Wanderer: The Rebirth,2017-01-12,,"0 .. 20,000","Chengdu Wuweiyiding Technologies Co., Ltd","Chengdu Wuweiyiding Technologies Co., Ltd",0.00E+00,2.00E+04,0,20.0K
Drift 7 Islands (survival),2017-03-06,,"0 .. 20,000",GamerGG,GamerGG,0.00E+00,2.00E+04,0,20.0K
Dark: Frontier,2017-07-27,0.0,"0 .. 20,000",PotatoFaceGames,PotatoFaceGames,0.00E+00,2.00E+04,0,20.0K
MIND SWITCH,2019-08-01,,"0 .. 20,000",MUCO,MUCO,0.00E+00,2.00E+04,0,20.0K
Dreams of Solari - Chapter 1,2019-07-20,0.0,"0 .. 20,000",Endless Void Studios,Endless Void Studios,0.00E+00,2.00E+04,0,20.0K
Imaginator,2020-03-31,,"0 .. 20,000",Ongakken s. r. o.,Ongakken s. r. o.,0.00E+00,2.00E+04,0,20.0K
Ronald's Run,2020-07-14,0.0,"0 .. 20,000",Jeff Rigler,Rigler Digital LLC,0.00E+00,2.00E+04,0,20.0K
Lost Robot,2021-02-15,0.0,"0 .. 20,000",Jeff Rigler,Rigler Digital LLC,0.00E+00,2.00E+04,0,20.0K
The falling tower,2020-06-23,0.0,"0 .. 20,000",Carotaa,Dream Night Studio,0.00E+00,2.00E+04,0,20.0K
Two Clusters: Kain,2019-04-30,0.0,"0 .. 20,000",Two Clusters,Two Clusters,0.00E+00,2.00E+04,0,20.0K
Aeioth RPG,2020-01-07,,"0 .. 20,000",Ahndong Studio,Ahndong Studio,0.00E+00,2.00E+04,0,20.0K
Magician's Apprentice,2015-11-09,,"0 .. 20,000",Kosek.com,Kosek.com,0.00E+00,2.00E+04,0,20.0K
Awakened,2016-06-29,,"0 .. 20,000",Jesper Michael Petersen,Jesper Michael Petersen,0.00E+00,2.00E+04,0,20.0K
Spartan Commander Realtime,2020-03-31,0.0,"0 .. 20,000",Warrior,Warrior,0.00E+00,2.00E+04,0,20.0K
Beyond The Destiny,2016-04-11,,"0 .. 20,000",BTD Team,BTD Team,0.00E+00,2.00E+04,0,20.0K
英语杀,2020-01-09,0.0,"0 .. 20,000",边玩边学网络科技有限公司,边玩边学网络科技有限公司,0.00E+00,2.00E+04,0,20.0K
RE:OZMA,2019-12-19,,"0 .. 20,000",SHIFTRICK,SHIFTRICK,0.00E+00,2.00E+04,0,20.0K
三国志奇侠传,2021-02-04,0.0,"0 .. 20,000",炎黄工作室,炎黄工作室,0.00E+00,2.00E+04,0,20.0K
Eyes of The Mirror,2020-08-06,,"0 .. 20,000",Fatih Mert,Fatih Mert,0.00E+00,2.00E+04,0,20.0K
Obsolete Souls,2018-09-29,0.0,"0 .. 20,000","Dennel Cake, LLC.","Dennel Cake, LLC.",0.00E+00,2.00E+04,0,20.0K
Divine Legacy,2020-09-11,0.0,"0 .. 20,000",Godarkhaos,Godarkhaos,0.00E+00,2.00E+04,0,20.0K
Soul Reaper: Unreap Commander,2018-04-24,,"0 .. 20,000",Power Level Studios Inc.,Power Level Studios Inc.,0.00E+00,2.00E+04,0,20.0K
Blackfoot Burrows,2018-10-20,0.0,"0 .. 20,000",WVV-Games.com,WVV-Games.com,0.00E+00,2.00E+04,0,20.0K
Neon Tide,2019-09-16,0.0,"0 .. 20,000",Skyride Studios,Skyride Studios,0.00E+00,2.00E+04,0,20.0K
Those Chosen By God,2019-09-26,0.0,"0 .. 20,000",InOurEyes,InOurEyes,0.00E+00,2.00E+04,0,20.0K
Empire of the Wicked,2020-06-04,0.0,"0 .. 20,000",Job Timmermans,Luminous Forest Games,0.00E+00,2.00E+04,0,20.0K
Dice Tactics,2021-06-16,0.0,"0 .. 20,000",Game Wave Studios,Game Wave Studios,0.00E+00,2.00E+04,0,20.0K
Lands of Hope Redemption,2014-06-08,,"0 .. 20,000",Regal Computer Services,Regal Computer Services,0.00E+00,2.00E+04,0,20.0K
The Cleansing - Versus,2017-09-28,0.0,"0 .. 20,000",Grindstone Interactive,Grindstone Interactive,0.00E+00,2.00E+04,0,20.0K
Endurance,2018-01-16,,"0 .. 20,000",Gestmorph Games,Gestmorph Games,0.00E+00,2.00E+04,0,20.0K
梦幻江湖,2020-12-10,0.0,"0 .. 20,000",上海摩力游数字娱乐有限公司,上海摩力游数字娱乐有限公司,0.00E+00,2.00E+04,0,20.0K
War Theatre: Blood of Winter,2019-09-27,0.0,"0 .. 20,000",Arcade Distillery,Arcade Distillery,0.00E+00,2.00E+04,0,20.0K
Trip Troupe [Mixer Stream Host App],2018-11-05,0.0,"0 .. 20,000",Topstitch Games,Topstitch Games,0.00E+00,2.00E+04,0,20.0K
Paraiso Island,2020-06-05,0.0,"0 .. 20,000",One Earth Rising™,One Earth Rising™,0.00E+00,2.00E+04,0,20.0K
AMBUSH tactics,2017-09-26,0.0,"0 .. 20,000",UPLN,UPLN,0.00E+00,2.00E+04,0,20.0K
God Test,2018-03-21,0.0,"0 .. 20,000",God Test,God Test,0.00E+00,2.00E+04,0,20.0K
Beached,2017-06-28,0.0,"0 .. 20,000",James Petty,James Petty,0.00E+00,2.00E+04,0,20.0K
梦涯,2019-05-17,,"0 .. 20,000",QZQ Studio,"H.P.Y.S,LLC",0.00E+00,2.00E+04,0,20.0K
Glory by Example,2016-08-24,,"0 .. 20,000",Quote Studios,Quote Studios,0.00E+00,2.00E+04,0,20.0K
FIL,2020-07-31,0.0,"0 .. 20,000","CartMart, KGamer1",CartMart,0.00E+00,2.00E+04,0,20.0K
Ender Story: Chapter 1,2018-01-01,,"0 .. 20,000",VoidForce,VoidForce,0.00E+00,2.00E+04,0,20.0K
INFILTRIA,2020-03-03,,"0 .. 20,000",sectuZNET,sectuZ.NET,0.00E+00,2.00E+04,0,20.0K
Grounds of Glory,2019-02-22,,"0 .. 20,000",GG STUDIOS d.o.o.,GG STUDIOS d.o.o.,0.00E+00,2.00E+04,0,20.0K
アルカナリッター,2017-12-08,0.0,"0 .. 20,000",アスガル騎士団,アスガル騎士団,0.00E+00,2.00E+04,0,20.0K
Fatal Theory,2016-09-14,0.0,"0 .. 20,000",2 Hit Studio,2 Hit Studio,0.00E+00,2.00E+04,0,20.0K
