"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"85","Steep","Dec 2, 2016","$29.99","N/A (N/A/72%)","1,000,000 .. 2,000,000","00:00 (00:00)","Ubisoft Annecy, Ubisoft Montpellier, Ubisoft Kiev","Ubisoft"
"88","Poker Night at the Inventory","Nov 22, 2010","N/A","N/A (N/A/71%)","1,000,000 .. 2,000,000","00:00 (00:00)","Telltale Games","Soldak Entertainment"
"120","Need for Speed Payback","Nov 6, 2017","$29.99","N/A (N/A/62%)","1,000,000 .. 2,000,000","02:00 (01:55)","Ghost Games","Electronic Arts"
"404","Party Jousting","Mar 1, 2016","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","vikingfabian.com","vikingfabian.com"
"438","Heavy Metal Machines","Sep 19, 2018","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Hoplon","Forthright Entertainment"
"439","High Octane Drift","Oct 11, 2016","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Cruderocks","Cruderocks"
"450","eFootball  PES 2020","Sep 10, 2019","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Konami Digital Entertainment","Konami Digital Entertainment"
"3163","Ball 3D: Soccer Online","Mar 31, 2017","$0.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Unusualsoft","Unusualsoft"
"3164","SNOW - The Ultimate Edition","Nov 11, 2020","$3.74","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Poppermost Productions, WastedStudios, Crytek","Crytek"
"3172","NBA 2K23","Sep 8, 2022","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","07:51 (05:49)","Visual Concepts","2K"
"3175","Golf It!","Feb 17, 2017","$8.99","N/A (N/A)","1,000,000 .. 2,000,000","02:05 (02:05)","Perfuse Entertainment","Perfuse Entertainment"
"3178","eFootball PES 2021 SEASON UPDATE","Sep 15, 2020","N/A","N/A (N/A)","1,000,000 .. 2,000,000","06:31 (05:46)","Konami Digital Entertainment","Konami Digital Entertainment"
"3179","F1 2020","Jul 9, 2020","N/A","N/A (N/A)","1,000,000 .. 2,000,000","02:44 (01:49)","Codemasters","Codemasters, Electronic Arts"
"3180","EA SPORTS FIFA 21","Oct 8, 2020","N/A","N/A (N/A)","1,000,000 .. 2,000,000","02:22 (00:47)","EA Canada","Electronic Arts"
"3183","CarX Drift Racing Online","Nov 17, 2017","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","03:08 (05:13)","CarX Technologies, LLC","CarX Technologies, LLC"
"2","NBA 2K17","Sep 20, 2016","N/A","N/A (N/A/90%)","500,000 .. 1,000,000","00:00 (00:00)","Visual Concepts","2K"
"7","F1 2019","Jun 27, 2019","N/A","N/A (N/A/87%)","500,000 .. 1,000,000","00:00 (00:00)","Codemasters","Codemasters, Electronic Arts"
"24","F1 2018","Aug 23, 2018","N/A","N/A (N/A/83%)","500,000 .. 1,000,000","03:27 (01:50)","Codemasters","Codemasters, Electronic Arts"
"31","Lethal League","Aug 27, 2014","$13.99","N/A (N/A/82%)","500,000 .. 1,000,000","00:00 (00:00)","Team Reptile","Team Reptile"
"37","Nidhogg","Jan 13, 2014","$9.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Messhof","Messhof"
"38","Motorsport Manager","Nov 9, 2016","$19.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:07 (00:03)","Playsport Games","SEGA"
"39","F1 22","Jun 30, 2022","$9.59","N/A (N/A/81%)","500,000 .. 1,000,000","09:09 (05:51)","Codemasters","Electronic Arts"
"59","GRID Autosport","Jun 26, 2014","N/A","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","Codemasters Racing, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)"
"60","DiRT 4","Jun 9, 2017","N/A","N/A (N/A/78%)","500,000 .. 1,000,000","00:22 (00:07)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux), Electronic Arts"
"61","Descenders","May 7, 2019","$24.99","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","RageSquid","No More Robots"
"64","TrackMania² Stadium","Jun 20, 2013","$9.99","N/A (N/A/77%)","500,000 .. 1,000,000","00:13 (00:04)","Nadeo","Ubisoft"
"68","Blood Bowl 2","Sep 22, 2015","$2.99","N/A (N/A/76%)","500,000 .. 1,000,000","00:06 (00:02)","Cyanide Studios","Nacon"
