"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"99","Pure Pool","Jul 31, 2014","$9.99","N/A (N/A/68%)","20,000 .. 50,000","00:00 (00:00)","VooFoo Studios","Ripstone"
"106","Virtua Tennis 4","Jun 24, 2011","N/A","N/A (N/A/66%)","20,000 .. 50,000","00:00 (00:00)","SEGA","SEGA"
"108","Antigraviator","Jun 6, 2018","$19.99","N/A (N/A/65%)","20,000 .. 50,000","00:00 (00:00)","Cybernetic Walrus","Iceberg Interactive"
"118","Chess 2: The Sequel","Aug 19, 2014","$5.99","N/A (N/A/62%)","20,000 .. 50,000","00:00 (00:00)","Ludeme Games, Sirlin Games","Ludeme Games"
"124","Fight Crab","Jul 29, 2020","$19.99","N/A (N/A/60%)","20,000 .. 50,000","00:00 (00:00)","Calappa Games","PLAYISM"
"125","Shot Online","Jan 22, 2019","N/A","N/A (N/A/59%)","20,000 .. 50,000","00:00 (00:00)","WEBZEN ONNET","WEBZEN"
"160","The Tower Of TigerQiuQiu 2","Mar 18, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","TigerQiuQiu","TigerQiuQiu"
"161","SwordBall","Dec 31, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Null DIES","Null DIES"
"173","Run!!!","Jun 23, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","John Xu, John Morris","John Xu"
"186","Soldier Matt Sowards","Mar 26, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Matt Sowards","MIRROR Soft"
"188","VR Triber","Sep 26, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","VR Triber","VR Triber"
"191","Drone Wars VR","Jun 1, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","CBAcademy","CBAcademy"
"205","Protoball Beta","Oct 1, 2020","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Studio Z 3D","Studio Z 3D"
"222","Car Crash Couch Party","Jan 31, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Fogbound","Fogbound"
"223","FPV Speed Drone","Dec 6, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","AR-BRIDGE","AR-BRIDGE"
"225","Fantasy Gladiators","Jul 20, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Evil Bunneh","Evil Bunneh"
"231","Cybershoes","Feb 12, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Cybershoes","Cybershoes"
"233","Porsche Hall of Legends VR","Feb 24, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","United Digital Group GmbH, Nerdindustries GmbH","Dr. Ing. h.c.F. Porsche AG"
"237","VRWorkout","Jul 5, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Michael Gschwandtner","Michael Gschwandtner"
"238","Cragls","Jan 27, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tim-Jannick Hopp","Tim-Jannick Hopp"
"239","Ahlman Arcade 2018","Jun 30, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Team in Time","Ahlman Game Studio"
"243","DrillsVR","Jun 29, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Team B Laboratory","Team B Laboratory"
"244","Rezzil Player 21","Jan 18, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Rezzil","Rezzil"
"246","El Hincha - El Videojuego","Jun 19, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","LABASE Entertainment","XBIT S.A.C"
"254","Flash Snooker Game","Jun 18, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Brandon Phillips, Tim Porter","Brandon Phillips"
"265","Guts 'N Goals: Preseason","Jul 30, 2020","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","CodeManu","PM Studios, inc."
"268","uVolley","Jul 24, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Nick","IElectric"
"273","Summer Games Heroes","Jan 4, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Olivier Monaret","Olivier Monaret"
"275","MiniBikers","Nov 5, 2015","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ivanovich Games","Ivanovich Games"
"276","Flinger Tactics","Jan 3, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dan Schumacher, SchuBox Studio","Dan Schumacher, SchuBox Studio"
"279","御龙在天-平衡国战版","May 15, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","深圳墨麟科技股份有限公司","深圳墨麟科技股份有限公司"
"280","Sheep Game","Apr 27, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","David Lewis","David Lewis"
"282","Blood Bowl: Death Zone","Jul 17, 2018","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Cyanide Studio","Bigben Interactive"
"284","FurBall","Jul 30, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Rapt Interactive","Rapt Interactive"
"288","Tahko Alpine Ski","Feb 24, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","3D Talo Finland","3D Talo Finland Ltd."
"290","Meow Pow","Mar 12, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Cheap Ramen Games","Cheap Ramen Games"
"293","Skull Ball Heroes","Sep 2016","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Strength in Numbers Studios, Inc","Strength in Numbers Studios, Inc"
"295","Snooker-online multiplayer snooker game!","Oct 1, 2016","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","TTCX Inc.","TTCX Inc."
"297","Egg Time","Sep 19, 2016","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Bartoš Studio","Bartoš Studio"
"300","Football Manager 2019: The Hashtag United Challenge","Dec 21, 2018","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sports Interactive","SEGA"
"301","Dirty Harry's Thunder Drive","Feb 18, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Thunder Clap","Thunder Clap"
"303","VRSailing by BeTomorrow","Jan 12, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","BeTomorrow","BeTomorrow"
"304","PC Fútbol Stars","Nov 7, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Rashin Game Studio","IDC/Games"
"305","Monster Jam Battlegrounds","Jun 10, 2015","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Team6 game studios B.V.","GameMill Entertainment"
"307","Racecraft","Mar 4, 2016","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sandbox Games","Sandbox Games"
"309","VRMultigames","Jul 25, 2016","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Mad Triangles","Mad Triangles"
"310","Blocky Ball","Mar 26, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Lange Studios LLC","Lange Studios LLC"
"311","Mad Ball","Mar 12, 2021","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Hero Blocks ApS","Hero Blocks ApS"
"312","RUCKBALL","May 17, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","The Architects Republic","The Architects Republic"
"313","Women's Soccer/Football Manager","Aug 1, 2017","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Trophy Games ApS","Trophy Games ApS"
"316","Blackout Rugby Manager","Jul 14, 2022","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Blackout Games","Blackout Games"
"319","MiniGolf Mania","Mar 25, 2016","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Road Turtle Games","Axis Games"
"321","Ping Pong League","Feb 27, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Cover Corp.","Cover Corp."
"325","CasinoLife Poker - #1 Free Texas Holdem 3D","Aug 5, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Kaneva LLC","Kaneva LLC"
"329","World of Soccer RELOADED","Oct 28, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","JoneH, Dominik, Bonança, domi383","Wos Dev Team"
"331","Trendpoker 3D: Free Online Poker","Apr 14, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","BufoProject","BufoProject"
"333","Club Soccer Director 2021","Aug 6, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Go Play Games Ltd","Go Play Games Ltd"
"334","Virtual Pool 4 Multiplayer","Jun 13, 2016","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Celeris","Celeris"
"335","Pixel Puzzles Illustrations & Anime","Feb 23, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Pixel Puzzles","Pixel Puzzles"
"338","Superstar Racing","Nov 27, 2008","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Gunther-Gerben Boxhammer","Gunther-Gerben Boxhammer"
"341","SQUAKE","Feb 1, 2017","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","On5","On5"
"342","Netsoccer","Jun 6, 2009","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Giovanni Marin, Johannes Eski, Vinicius Marchesini, André Costa","Giovanni Marin"
"343","Goalie Challenge VR","Feb 1, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Josh Beatty, Mike Casto","Anchor Reality"
"348","Electro Ride Prologue","May 30, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sylwester Osik","Forestlight Games"
"349","Football Manager Touch 2018","Nov 9, 2017","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sports Interactive","SEGA"
"350","Hot Squat","Nov 22, 2016","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Bean Boy Games","Bean Boy Games"
"351","Fields of Battle","Sep 1, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Super X Studios LLC","Super X Studios LLC"
"352","Spaceball!","Aug 20, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Intergalactic Education LLC","Intergalactic Education LLC"
"356","UniBall","Feb 24, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","StormBrewers","StormBrewers"
"357","Mad Machines","Nov 15, 2019","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Hero Blocks ApS","Hero Blocks ApS"
"366","Fitforce","Jan 28, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Runnex Technology","Runnex Technology"
"367","Super Dirt Racers","Feb 8, 2021","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Haphazard Studios","Haphazard Studios"
"372","Pongarena","Jan 31, 2022","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dreamirl","Dreamirl"
"380","开心扑克Happy Poker","Jun 9, 2021","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Happy Poker","Happy Poker"
"385","Beneath The Surface","Nov 13, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","carla51","carla51"
"389","Classic Racers","Mar 26, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Vision Reelle","Vision Reelle"
"680","Updive","Nov 29, 2020","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Atomic Sun Games","Dystopian Edge Publishing"
"685","10 Pin Bowling (VR Support)","May 28, 2021","$10.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","CBGameDev","CBGameDev"
"760","Mahjong Match","Sep 19, 2017","$0.59","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Boogygames Studios","Boogygames Studios"
"805","EPEJSODION Dodgeball Speed","Feb 1, 2021","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tadeusz Lorkowski","Tadeusz Lorkowski"
"806","tanxy","Jan 11, 2021","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","IronRib","IronRib"
"847","BAT HERO","Mar 8, 2023","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","BAHAMUN","BAHAMUN"
"876","Premier Manager 04/05","Nov 5, 2004","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","ZOO Digital Publishing","Funbox Media Ltd"
"912","Dragon Fury VR","Feb 1, 2021","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Epoching","Epoching"
"983","Furries & Scalies: Super Scary Halloween Spooky Times","Jun 8, 2020","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Stegalosaurus Game Development","Stegalosaurus Game Development"
"986","Premier Manager 06/07","Aug 18, 2006","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","ZOO Digital Publishing","Funbox Media Ltd"
"1052","Aim: Warmup","Jan 7, 2021","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Gamegarden","Gamegarden"
"1058","Reef Rivals","Apr 14, 2022","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Finn Stüven, Felix Haffke","MelonFish Studios"
"1062","DogFight Time","Apr 5, 2022","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","HabibiDev","HabibiDev"
"1066","Astonishing Basketball Manager","Jan 6, 2023","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Studio Zero Inc., Aerilys","Zero One SAS"
"1067","To the earth","Dec 1, 2022","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Hotdogdog","Hotdogdog"
"1123","Top Billiards","Jul 23, 2020","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tyluk","Tyluk"
"1157","Color Pixel Heroes","Apr 8, 2021","$0.39","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Boogygames Studios","Boogygames Studios"
"1204","Frontiers.io","Oct 12, 2017","$0.49","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Boogygames Studios","Boogygames Studios"
"1213","Cyber Badminton 2020","Nov 13, 2020","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","CAREBOT GAMES","CAREBOT GAMES"
"1229","Join Rush Attack / 加入突袭","Oct 6, 2021","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Bad Kids Games","Cristian Manolachi, Atomic Fabrik"
"1278","Matt's Project Zombies: Endless","Dec 15, 2020","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Matt Sowards","Ravesta Games"
"1310","CityPunk","Feb 10, 2021","$0.59","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","ChangeMe","ChangeMe"
"1330","THROWDOWN BOXING 2","Jul 3, 2022","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","BIGGETY BOSS GAMES","BIGGETY BOSS GAMES"
"1374","Roll Control","May 18, 2020","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Andrew Simon Thomas LLC","Andrew Simon Thomas LLC"
"1431","Truck Truck","Sep 24, 2020","$99.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Hede","Hede"
"1436","Football Mogul 18","Sep 19, 2017","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sports Mogul, Inc.","Sports Mogul, Inc."
"1438","❂ Hexaluga ❂ Witch Hunter's Travelling Castle ♉","Mar 12, 2018","$99.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Hede, Hexaluga mines","Hede"
"1453","Minigolf","Dec 22, 2022","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Single Geared Games","Single Geared Games"
"1475","The Worst Game Ever","Jan 1, 2021","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sleepy Sheep","Sleepy Sheep"
"1528","Time Patrol","Feb 10, 2022","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Overon Station","VRKiwi"
"1572","Clash Memory Game","Sep 11, 2021","$0.49","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","FI Pixel","Gigantum Games"
"1582","Pinball Lockdown","Apr 17, 2020","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Onteca Ltd","Onteca Ltd"
"1631","Big Bash Boom","Dec 20, 2018","$39.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Big Ant Studios","Big Ant Studios"
"1642","CLASSIC TANKS 2020","Sep 7, 2020","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Gnelf","Gnelf"
"1706","Space Route","Aug 26, 2022","$24.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Space R Studio, Gamesforgames","Space R Studio, Gamesforgames"
"1708","Best Pearl","Mar 8, 2023","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Gamesforfarm","Gamesforfarm"
"1714","Pretty Girls Breakout! PLUS","Jul 28, 2022","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Zoo Corporation","Zoo Corporation"
"1843","KING PONG","Feb 18, 2021","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Iconik","Iconik, Plug In Digital"
"1859","Hard Driver 2","Jun 18, 2021","$0.49","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Wertex Games","Gigantum Games"
"1862","Zombies Killer Machine","Jan 6, 2022","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Atomic Fabrik","Atomic Fabrik"
"1866","Laika","Nov 3, 2022","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dragonetti, GHBE Studios","Dragonetti, GHBE Studios"
"1877","Cybershift","Dec 11, 2020","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","SZEINER","SZEINER"
"1879","BangBang PewPew","Apr 8, 2022","$24.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Molerat Digital Art Ltd.","Molerat Digital Art Ltd."
"1915","Russian Drunken Boxers 2","Nov 12, 2021","$1.09","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Svarovsky","  Gales Corp.   "
"1925","Hunting Unlimited 1","Nov 25, 2001","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","SCS Software","Ziggurat"
"1949","Boxel Golf","Aug 1, 2022","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Doppler Creative","Doppler Creative"
"1957","Axe Throw VR","Sep 17, 2018","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tea Monster Games, PsychicParrot","Tea Monster Games"
"2014","Game Machines: Arcade Casino","Oct 19, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Crabby Team","Crabby Team"
"2021","SpaceGaze","Nov 15, 2021","$1.39","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","galesoozka","galesoozka"
"2035","Casual Challenge Players Club- Anime Bilhar game","Jan 25, 2021","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Yume Game Studio","Yume Game Studio"
"2054","Knife To Meet You","Jul 21, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Mate Magyar","Mate Magyar"
"2122","Planet Surf: The Last Wave","Jun 17, 2021","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Abyssal Studios","Abyssal Studios"
"2143","Fore Score","Jul 12, 2022","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Rudiment Games","Rudiment Games"
"2155","Solitaire - Cat Pirate Portrait","Jul 12, 2017","$0.39","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Boogygames Studios","Boogygames Studios"
"2180","Dungeon Deathball","Oct 13, 2021","$11.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Matt Glanville","Matt Glanville"
"2181","Speedonauts : Jetpack Speedrun Skiing","Feb 21, 2023","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","World Away Games","World Away Games"
"2203","Hardcore ZBoy","Sep 21, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Narko Games","Narko Games"
"2231","Tennis Elbow Manager","Feb 19, 2009","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Mana Games","Mana Games"
"2232","Naginata","Dec 3, 2020","$0.79","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Nacks Soft","Nacks Soft"
"2247","Supfly Delivery Simulator","Oct 16, 2020","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Koro.Games, Blacer Studio","Source Byte Sp. z o.o."
"2281","Yuzi Lims: anime runner","Jan 22, 2018","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Snkl Studio","Snkl Studio"
"2300","MotoGP14 Compact","Nov 21, 2014","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"2310","Horse Riding Deluxe","Jan 29, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Loot Inside","Loot Inside"
"2311","Candy Smash VR","Jul 26, 2016","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Wadup Games","Trinity Project"
"2317","Army of One","Jul 2, 2022","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","World War Company","World War Company"
"2328","SpellPunk VR","Apr 24, 2020","$10.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Incineration Productions","Incineration Productions"
"2370","Pro Rugby Manager 2015","Sep 18, 2014","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Cyanide","505 Games"
"2398","AUTOCROSS MADNESS","Apr 13, 2018","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","DCGsoft","DCGsoft"
"2403","DOG GONE GOLFING","Aug 25, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Vagabond Dog","Vagabond Dog"
"2410","Most Correct Football Simulator","May 21, 2019","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Kiddy","Kiddy"
"2418","Highway Traffic Racer","Mar 5, 2021","$0.27","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Success Games","Success Games"
"2441","Treachery in Beatdown City","Mar 30, 2020","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","NuChallenger, HurakanWorks","NuChallenger"
"2465","ThunderWheels","Nov 2, 2017","$8.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Arcade Injection","Arcade Injection"
"2467","ZiL Truck RallyCross","Apr 6, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ara Interactive","Ara Interactive"
"2493","Drive//Shaft","Nov 30, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Spotted Zebra Software LLC","Spotted Zebra Software LLC"
"2502","Timber Tennis: Versus","Nov 8, 2018","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Digital Melody","Crunching Koalas"
"2510","Moto Racer Collection","Nov 30, 2011","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Microids","Microids"
"2520","Club Manager 2016","Nov 19, 2015","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","BigBlaze Games","2tainment GmbH"
"2525","Crazy Pixel Streaker","Mar 2, 2016","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Lubiterum","Plug In Digital"
"2530","Pixel Puzzles 2: Christmas","Nov 27, 2018","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Pixel Puzzles","Pixel Puzzles"
"2540","Resort Boss: Golf","Feb 14, 2019","$4.41","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Gus Martin","Excalibur Publishing"
"2545","Sky to Fly: Soulless Leviathan","Jul 22, 2016","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","AIVIK LLC","Absolutist Ltd."
"2548","Dubstep Abasralsa","May 30, 2018","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dayn","Narko Games"
"2551","Premium Pool Arena","Apr 14, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Iceflake Studios","Paradox Interactive"
"2552","River City Melee : Battle Royal Special","Sep 29, 2017","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Arc System Works","H2 Interactive Co., Ltd."
"2571","MXGP2 - The Official Motocross Videogame Compact","Sep 8, 2016","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"2589","BASEBALL STARS 2","Apr 27, 2016","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","SNK CORPORATION, Dotemu","SNK CORPORATION"
"2592","Challenge Speedball","Jan 13, 2021","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Bucksoft91","Bucksoft91"
"2607","Urban Trial Playground","Apr 5, 2019","$1.04","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tate Multimedia, Teyon","Tate Multimedia"
"2608","Village Bus Driver Simulator","Oct 25, 2019","$1.09","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","A Nostru","My Way Games"
"2614","Score a goal 2 (Physical football)","Mar 16, 2018","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","BulatHard","BulatHard"
"2618","SWORDY","Jul 21, 2016","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Frogshark","Frogshark"
"2622","Sky To Fly: Faster Than Wind","Mar 25, 2016","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","AIVIK LLC","Absolutist Ltd."
"2623","GTR - FIA GT Racing Game","Sep 25, 2012","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","SimBin Studios AB","SimBin"
"2625","ESport Manager","Jun 18, 2018","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","InImages","Manager Games S.A."
"2630","Pixel Puzzles Mosaics","Jun 9, 2017","$0.49","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Pixel Puzzles","Pixel Puzzles"
"2639","MUD Motocross World Championship","Feb 26, 2013","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Milestone S.r.l.","BANDAI NAMCO Entertainment"
"2640","Planetoid Pioneers Online","Jul 11, 2019","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Data Realms","Data Realms"
"2651","Beeftacular","Aug 26, 2016","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Retrific","Retrific"
"2658","Aim Trainer Pro","Jan 25, 2018","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dan","Dan"
"2661","Leave Me Alone: A Trip To Hell","Apr 20, 2016","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Lisa Voronova","Lisa Voronova"
"2663","Need for Spirit: Drink & Drive Simulator/醉驾模拟器","Sep 5, 2018","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi"
"2675","PaintballX","Mar 3, 2022","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","KMHgames","KMHgames"
