Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Shine's Adventures 6 (Go! Girls),2019-11-26,2.99,"0 .. 20,000",ShineProject,ShineProject,0.00E+00,2.00E+04,0,20.0K
VR Slugger: The Toy Baseball Field,2017-06-08,4.79,"0 .. 20,000",Poly Poly Games,Poly Poly Games,0.00E+00,2.00E+04,0,20.0K
Fly Fly Tuk Tuk,2022-08-08,199.99,"0 .. 20,000",TITI Studios,Hunny Bunny Studio,0.00E+00,2.00E+04,0,20.0K
Miner Ultra Rag Smash,2020-11-04,0.49,"0 .. 20,000",Sinned Games,Sinned Games,0.00E+00,2.00E+04,0,20.0K
"Car Racing Highway Driving Simulator, real parking driver sim speed traffic deluxe 2023",2023-01-11,1.99,"0 .. 20,000",Midnight Games,Midnight Games,0.00E+00,2.00E+04,0,20.0K
Pro Strategy Football 2020,2019-09-13,11.99,"0 .. 20,000",Kerry Batts,Pro Strategy Games,0.00E+00,2.00E+04,0,20.0K
Sniper Game,2021-10-28,1.99,"0 .. 20,000",beans rolls,beans rolls,0.00E+00,2.00E+04,0,20.0K
Mountain Offroad Simulator,2022-07-18,29.99,"0 .. 20,000","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi",0.00E+00,2.00E+04,0,20.0K
Super Toy Cars Offroad,2022-02-18,19.99,"0 .. 20,000",Eclipse Games,Eclipse Games,0.00E+00,2.00E+04,0,20.0K
Retrowave Drift,2020-10-30,0.59,"0 .. 20,000",ChangeMe,ChangeMe,0.00E+00,2.00E+04,0,20.0K
Draft Day Sports: Pro Basketball 2021,2020-11-19,19.99,"0 .. 20,000",Wolverine Studios,Wolverine Studios,0.00E+00,2.00E+04,0,20.0K
In a search of a new home,2020-05-26,24.99,"0 .. 20,000",Defender Defender,Defender Defender,0.00E+00,2.00E+04,0,20.0K
Paintball 707,2016-11-30,4.99,"0 .. 20,000",Lotte|EoD,Agger Interactive,0.00E+00,2.00E+04,0,20.0K
IHF Handball Challenge 14,2014-03-28,9.99,"0 .. 20,000",Neutron Games GmbH,"Nacon, Plug In Digital",0.00E+00,2.00E+04,0,20.0K
G-Ball,2014-05-28,0.99,"0 .. 20,000",Genee Network,Genee Network,0.00E+00,2.00E+04,0,20.0K
CrazyCar,2017-07-27,5.99,"0 .. 20,000",Apillo,Apillo,0.00E+00,2.00E+04,0,20.0K
Beers and Boomerangs,2022-11-22,19.99,"0 .. 20,000",Witty Platypus,Spelkollektivet,0.00E+00,2.00E+04,0,20.0K
Dolphin Up,2017-05-04,2.99,"0 .. 20,000",Rawkins Games,Rawkins Games,0.00E+00,2.00E+04,0,20.0K
Presentiment of Death,2023-03-01,14.99,"0 .. 20,000",XOCUS,XOCUS,0.00E+00,2.00E+04,0,20.0K
Extreme Truck Stunts,2022-10-21,10.99,"0 .. 20,000","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi",0.00E+00,2.00E+04,0,20.0K
World Fighting Soccer 22,2022-08-30,4.99,"0 .. 20,000",Melko Game Club,Melko Game Club,0.00E+00,2.00E+04,0,20.0K
Super Soccer Blast: America vs Europe,2021-06-11,9.99,"0 .. 20,000",Unfinished Pixel,Unfinished Pixel,0.00E+00,2.00E+04,0,20.0K
Autumn Park Mini Golf,2016-09-16,1.99,"0 .. 20,000",Serious Tangents,Serious Tangents,0.00E+00,2.00E+04,0,20.0K
TrickStyle,2017-02-21,5.99,"0 .. 20,000","Throwback Entertainment, Criterion Games",Throwback Entertainment,0.00E+00,2.00E+04,0,20.0K
Open Wheel Manager,2019-09-20,9.99,"0 .. 20,000",Paprikash Games,MicroProse Software,0.00E+00,2.00E+04,0,20.0K
Hoser Hockey,2020-11-30,7.99,"0 .. 20,000",Sam,Sam,0.00E+00,2.00E+04,0,20.0K
RADtv,2019-08-02,9.99,"0 .. 20,000",Ruffian Games,Ruffian Games,0.00E+00,2.00E+04,0,20.0K
Drunk-Fu: Wasted Masters,2018-08-17,9.99,"0 .. 20,000",Rusto,Rusto,0.00E+00,2.00E+04,0,20.0K
Golf Party,2021-01-29,0.0,"0 .. 20,000",VoidFiller Studios,VoidFiller Studios,0.00E+00,2.00E+04,0,20.0K
Archery Blast,2018-04-13,0.28,"0 .. 20,000",RewindApp,RewindApp,0.00E+00,2.00E+04,0,20.0K
Fort Boyard,2019-06-27,24.99,"0 .. 20,000",Appeal Studio,Microids,0.00E+00,2.00E+04,0,20.0K
Mine the Gold,2019-04-10,0.29,"0 .. 20,000",A Nostru,My Way Games,0.00E+00,2.00E+04,0,20.0K
Drift King: Survival,2016-11-24,4.99,"0 .. 20,000",Destiny.Games,Destiny.Games,0.00E+00,2.00E+04,0,20.0K
Art of Boxing,2020-03-09,11.99,"0 .. 20,000",Gold From Straw Games,Gold From Straw Games,0.00E+00,2.00E+04,0,20.0K
Dino Galaxy Tennis,2021-03-19,9.99,"0 .. 20,000",Vixa Games,Vixa Games,0.00E+00,2.00E+04,0,20.0K
Golf On Mars,2020-07-03,2.99,"0 .. 20,000",Captain Games,Captain Games,0.00E+00,2.00E+04,0,20.0K
Roxy Raccoon's Pinball Panic,2022-03-15,4.99,"0 .. 20,000",Sinomod Studios,Sinomod Studios,0.00E+00,2.00E+04,0,20.0K
Pupper park,2019-11-08,2.99,"0 .. 20,000",Sokpop Collective,Sokpop Collective,0.00E+00,2.00E+04,0,20.0K
Super Sports Blast,2021-01-29,24.99,"0 .. 20,000",Unfinished Pixel,Unfinished Pixel,0.00E+00,2.00E+04,0,20.0K
Glider Island,2017-04-28,7.99,"0 .. 20,000",Joey Sipos,5D Realities,0.00E+00,2.00E+04,0,20.0K
Street Hoop,2019-12-31,4.99,"0 .. 20,000","Digicon, DATA EAST",Digicon,0.00E+00,2.00E+04,0,20.0K
Drunk Soccer is the Best Soccer,2021-01-12,0.49,"0 .. 20,000",Kiddy,Kiddy,0.00E+00,2.00E+04,0,20.0K
Ball Grabbers,2018-07-12,0.99,"0 .. 20,000",Part Time Monkey,Part Time Monkey,0.00E+00,2.00E+04,0,20.0K
Range is HOT!,2021-03-09,29.99,"0 .. 20,000",Winter Bear Studio,Winter Bear Studio,0.00E+00,2.00E+04,0,20.0K
Football Mogul 2014,2013-09-04,0.99,"0 .. 20,000","Sports Mogul, Inc.","Sports Mogul, Inc.",0.00E+00,2.00E+04,0,20.0K
Monster Trucks Nitro,2009-01-29,19.99,"0 .. 20,000",Redlynx Ltd,Miniclip.com,0.00E+00,2.00E+04,0,20.0K
Era of Combat: Boxing,2022-02-25,19.99,"0 .. 20,000","Nodtech Creative Industries Ltd., Era of Combat Boxing Ltd.",Nodtech Creative Industries Ltd.,0.00E+00,2.00E+04,0,20.0K
Super Arcade Soccer,2019-02-26,3.99,"0 .. 20,000",Ruben Alcañiz,Ruben Alcañiz,0.00E+00,2.00E+04,0,20.0K
Extreme Truck Simulator,2019-02-15,0.99,"0 .. 20,000",A Nostru,My Way Games,0.00E+00,2.00E+04,0,20.0K
Doug Flutie's Maximum Football 2020,2020-12-29,29.99,"0 .. 20,000",Canuck Play Inc,Canuck Play Inc,0.00E+00,2.00E+04,0,20.0K
Cyber Team Manager,2016-01-08,4.99,"0 .. 20,000",The Tambourine,The Tambourine,0.00E+00,2.00E+04,0,20.0K
Shiny Ski Resort,2022-11-27,8.99,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,2.00E+04,0,20.0K
RC Rush,2022-01-27,12.99,"0 .. 20,000","Tea Monster Games, 4 Fun Studio",Tea Monster Games,0.00E+00,2.00E+04,0,20.0K
Rule with an Iron Fish - A Pirate Fishing Adventure,2017-08-24,9.99,"0 .. 20,000",Kestrel Games,Kestrel Games,0.00E+00,2.00E+04,0,20.0K
capy hoky,2019-01-18,2.99,"0 .. 20,000",Sokpop Collective,Sokpop Collective,0.00E+00,2.00E+04,0,20.0K
Speedball Arena,2017-10-25,9.99,"0 .. 20,000",RR GAMES PTE LTD,RR GAMES PTE LTD,0.00E+00,2.00E+04,0,20.0K
Smash Cars,2011-10-18,9.99,"0 .. 20,000",Creat Studios Inc,,0.00E+00,2.00E+04,0,20.0K
Practisim VR,2017-05-19,19.99,"0 .. 20,000",AncientSky Games,AncientSky Games,0.00E+00,2.00E+04,0,20.0K
World Championship Boxing Manager 2,2023-01-17,12.99,"0 .. 20,000",Mega Cat Studios,Ziggurat,0.00E+00,2.00E+04,0,20.0K
National Rugby Manager,2018-02-16,18.99,"0 .. 20,000","Biological Systems Modeling, Alternative Software",Alternative Software,0.00E+00,2.00E+04,0,20.0K
The Unicorn Princess,2019-11-14,3.99,"0 .. 20,000",Caipirinha Games,Toplitz Productions,0.00E+00,2.00E+04,0,20.0K
Hockey Player VR,2019-05-08,4.99,"0 .. 20,000",Brosvision s.r.o.,Brosvision s.r.o.,0.00E+00,2.00E+04,0,20.0K
VR Ping Pong Pro,2019-11-12,24.99,"0 .. 20,000","Reddoll Srl, IV Productions, ONE-O-ONE GAMES",Merge Games,0.00E+00,2.00E+04,0,20.0K
BattleTrucks,2017-04-03,3.99,"0 .. 20,000",BattleGames,Trinity Project,0.00E+00,2.00E+04,0,20.0K
Street Power Football,2020-08-25,29.99,"0 .. 20,000","SFL Interactive, Gamajun",Nacon,0.00E+00,2.00E+04,0,20.0K
3D MiniGolf,2015-05-29,4.99,"0 .. 20,000",Z-Software GmbH,familyplay,0.00E+00,2.00E+04,0,20.0K
Schlag den Star - Das Spiel,2017-11-30,9.99,"0 .. 20,000",Lost the Game Studios,bitComposer Interactive GmbH,0.00E+00,2.00E+04,0,20.0K
Riding Seas,2022-01-31,12.99,"0 .. 20,000",CatOnTree Studio,CatOnTree Studio,0.00E+00,2.00E+04,0,20.0K
BasCatball Mars: Basketball & Cat,2020-11-06,1.99,"0 .. 20,000",Opala Project,Opala Project,0.00E+00,2.00E+04,0,20.0K
Headmaster,2017-08-30,19.99,"0 .. 20,000",Frame Interactive,Frame Interactive,0.00E+00,2.00E+04,0,20.0K
Mini Car Racing - Tiny Split Screen Tournament,2021-04-23,9.99,"0 .. 20,000",EpiXR Games UG,EpiXR Games UG,0.00E+00,2.00E+04,0,20.0K
Fist of Physics,2016-12-14,9.99,"0 .. 20,000",Midas Touch Game,Midas Touch Game,0.00E+00,2.00E+04,0,20.0K
Valentino Rossi The Game Compact,2017-01-26,,"0 .. 20,000",Milestone S.r.l.,Milestone S.r.l.,0.00E+00,2.00E+04,0,20.0K
TREBUCHET,2015-07-30,5.99,"0 .. 20,000",iconical Ltd.,iconical Ltd.,0.00E+00,2.00E+04,0,20.0K
Let's Bowl VR - Bowling Game,2017-08-07,17.99,"0 .. 20,000",Rising Fun Games,Rising Fun Games,0.00E+00,2.00E+04,0,20.0K
TRUE SKATE,2022-11-08,19.99,"0 .. 20,000",True Axis Pty Ltd,True Axis Pty Ltd,0.00E+00,2.00E+04,0,20.0K
Draft Day Sports: Pro Football 2021,2020-10-01,19.99,"0 .. 20,000",Wolverine Studios,Wolverine Studios,0.00E+00,2.00E+04,0,20.0K
gRally,2018-05-21,11.99,"0 .. 20,000",ghiboz,ghiboz,0.00E+00,2.00E+04,0,20.0K
Super Slam Dunk Touchdown,2015-12-16,15.0,"0 .. 20,000",Tipping Goat LLC,Tipping Goat LLC,0.00E+00,2.00E+04,0,20.0K
Surf World Series,2017-08-30,14.99,"0 .. 20,000",Climax Studios,Vision Games Publishing LTD,0.00E+00,2.00E+04,0,20.0K
Angry Golf,2019-09-13,0.39,"0 .. 20,000","Tero Lunkka, Ruskija game experience",Tero Lunkka,0.00E+00,2.00E+04,0,20.0K
My Riding Stables: Your Horse world,2014-03-28,14.99,"0 .. 20,000",Radon Labs GmbH,familyplay,0.00E+00,2.00E+04,0,20.0K
Qbike: Cyberpunk Motorcycles,2017-07-28,,"0 .. 20,000",GexagonVR,GexagonVR,0.00E+00,2.00E+04,0,20.0K
Dino Dini's Kick Off Revival - Steam Edition,2017-09-12,9.99,"0 .. 20,000",Koo Games Ltd,The Digital Lounge,0.00E+00,2.00E+04,0,20.0K
Pro Basketball Manager 2019,2018-11-21,,"0 .. 20,000",Umix Studios,Umix Studios,0.00E+00,2.00E+04,0,20.0K
PogoChamp,2021-04-12,2.99,"0 .. 20,000",Jake Rabinowitz,Jake Rabinowitz,0.00E+00,2.00E+04,0,20.0K
Barbarous - Tavern Of Emyr,2020-02-27,9.99,"0 .. 20,000",SQRT3,GameHouse,0.00E+00,2.00E+04,0,20.0K
Canvas Hockey,2020-08-05,9.99,"0 .. 20,000",Brandon Alexander Holt,Synvoyity LLC,0.00E+00,2.00E+04,0,20.0K
Spikair Volleyball,2023-02-06,19.99,"0 .. 20,000",Choc Abyss,Choc Abyss,0.00E+00,2.00E+04,0,20.0K
Watch Me Jump,2018-04-19,0.0,"0 .. 20,000",Jeremy Gable,Jeremy Gable,0.00E+00,2.00E+04,0,20.0K
Bird path,2020-08-20,0.99,"0 .. 20,000",Rabotiagi games,Rabotiagi games,0.00E+00,2.00E+04,0,20.0K
Hyper Gunsport,2022-12-22,24.99,"0 .. 20,000",Necrosoft Games,Necrosoft Games,0.00E+00,2.00E+04,0,20.0K
God of Gym,2020-01-03,0.99,"0 .. 20,000",Team KARPETTI,Team KARPETTI,0.00E+00,2.00E+04,0,20.0K
JAM GODS,2022-07-18,4.99,"0 .. 20,000",Static Wild,Static Wild,0.00E+00,2.00E+04,0,20.0K
Baseball Mogul Diamond,2016-08-09,11.99,"0 .. 20,000","Sports Mogul, Inc.","Sports Mogul, Inc.",0.00E+00,2.00E+04,0,20.0K
Way of Redemption,2017-11-07,6.99,"0 .. 20,000",Pixel Cream,Pixel Cream,0.00E+00,2.00E+04,0,20.0K
HUNTER BRICK BALL,2019-07-01,1.99,"0 .. 20,000",meokigame,meokigame,0.00E+00,2.00E+04,0,20.0K
StickmanThug3D火柴人暴徒,2022-10-08,5.99,"0 .. 20,000",Running Hoffman,Igpsea,0.00E+00,2.00E+04,0,20.0K
hoVRboard,2019-09-13,11.99,"0 .. 20,000",TomyHorst,TomyHorst,0.00E+00,2.00E+04,0,20.0K
Watch Your Ride - Bicycle Game,2021-08-26,7.99,"0 .. 20,000",Tiny Magicians,Tiny Magicians,0.00E+00,2.00E+04,0,20.0K
Home Run High,2022-10-10,8.99,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,2.00E+04,0,20.0K
VR SHOOT AROUND - Realistic basketball simulator -,2017-07-12,4.99,"0 .. 20,000",BoninblueDesignLaboratory,BoninblueDesignLaboratory,0.00E+00,2.00E+04,0,20.0K
Zombie Killer Drift - Racing Survival,2021-08-27,3.99,"0 .. 20,000",Bad Kids Games,"Atomic Fabrik, Cristian Manolachi",0.00E+00,2.00E+04,0,20.0K
Racing Glider,2020-02-27,6.99,"0 .. 20,000",Mystik'art,Mystik'art,0.00E+00,2.00E+04,0,20.0K
Rugby League Team Manager 2015,2015-06-19,19.99,"0 .. 20,000",Alternative Software Ltd,Alternative Software Ltd,0.00E+00,2.00E+04,0,20.0K
Player's Eleven,2020-02-12,17.99,"0 .. 20,000",Green Pitch Gaming,Green Pitch Gaming,0.00E+00,2.00E+04,0,20.0K
Baseball Mogul 2015,2015-07-24,4.99,"0 .. 20,000","Sports Mogul, Inc.","Sports Mogul, Inc.",0.00E+00,2.00E+04,0,20.0K
Transporter Truck Simulator,2019-09-17,10.99,"0 .. 20,000",A Nostru,My Way Games,0.00E+00,2.00E+04,0,20.0K
Trafic Road Rush,2018-11-30,0.99,"0 .. 20,000",crimsonearthgames,crimsonearthgames,0.00E+00,2.00E+04,0,20.0K
Cricket Captain 2014,2014-08-08,9.99,"0 .. 20,000",Childish Things,KISS ltd,0.00E+00,2.00E+04,0,20.0K
Wrestling Spirit 3,2015-12-09,19.99,"0 .. 20,000",Grey Dog Software,Viva Media,0.00E+00,2.00E+04,0,20.0K
Desire Gambling House/欲望赌馆,2019-09-11,0.99,"0 .. 20,000",Air Balloon,Air Balloon,0.00E+00,2.00E+04,0,20.0K
Everyday Golf VR,2017-07-12,29.99,"0 .. 20,000",WISECAT,WISECAT,0.00E+00,2.00E+04,0,20.0K
SRC: Sprint Robot Championship,2019-02-01,14.99,"0 .. 20,000",RageQuit Studios,RageQuit Studios,0.00E+00,2.00E+04,0,20.0K
Dodgeball Simulator VR,2018-12-26,9.99,"0 .. 20,000",Wooden Anchor Games,Wooden Anchor Games,0.00E+00,2.00E+04,0,20.0K
Free Kick X,2020-12-17,0.99,"0 .. 20,000",Seito Games,Seito Games,0.00E+00,2.00E+04,0,20.0K
Draft Day Sports: College Basketball 2021,2021-03-05,24.99,"0 .. 20,000",Wolverine Studios,Wolverine Studios,0.00E+00,2.00E+04,0,20.0K
Pranky Cat,2018-11-20,9.99,"0 .. 20,000","FastGame, VICTORIA Games",FastGame,0.00E+00,2.00E+04,0,20.0K
Cyber Rider,2021-08-10,0.99,"0 .. 20,000",Meng Games,Meng Games,0.00E+00,2.00E+04,0,20.0K
Rugby League Team Manager 2018,2017-10-13,39.99,"0 .. 20,000",Alternative Software Ltd,Alternative Software Ltd,0.00E+00,2.00E+04,0,20.0K
Motorbike,2011-05-09,9.99,"0 .. 20,000",baKno Games,baKno Games,0.00E+00,2.00E+04,0,20.0K
Equalizer,2017-08-11,1.79,"0 .. 20,000",Sergey Shushunov,SA Industry,0.00E+00,2.00E+04,0,20.0K
Bhop PRO,2020-07-05,0.99,"0 .. 20,000",HorseGames,HorseGames,0.00E+00,2.00E+04,0,20.0K
Hydrofoil Generation,2023-02-16,19.99,"0 .. 20,000",Jaxx Vane Studio,HOOK,0.00E+00,2.00E+04,0,20.0K
Ball Out,2019-12-02,0.99,"0 .. 20,000",Forceight,Forceight,0.00E+00,2.00E+04,0,20.0K
SuperTrucks Offroad Racing,2018-01-12,9.99,"0 .. 20,000",Meltdown Interactive Media,Meltdown Interactive Media,0.00E+00,2.00E+04,0,20.0K
Guts And Goals,2021-08-31,14.99,"0 .. 20,000",CodeManu,"PM Studios, inc., Gamersky Games",0.00E+00,2.00E+04,0,20.0K
Grapple Hoops,2021-10-18,11.99,"0 .. 20,000",Andreas Georgiou,Andreas Georgiou,0.00E+00,2.00E+04,0,20.0K
The Fastest Fist,2016-11-09,9.99,"0 .. 20,000","Beijing Skyline Interaction Technology Co., Ltd.","Beijing Skyline Interaction Technology Co., Ltd.",0.00E+00,2.00E+04,0,20.0K
Throttle Powah VR,2017-05-30,4.99,"0 .. 20,000","Diego F Beltran, Mauricio Tunes, Luiz Zaiats, Danilo Nishimura",Diego F Beltran,0.00E+00,2.00E+04,0,20.0K
