"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"323","The Forest","Apr 30, 2018","$19.99","N/A (N/A/83%)","10,000,000 .. 20,000,000","06:15 (03:14)","Endnight Games Ltd","Endnight Games Ltd"
"443","World of Warships","Nov 15, 2017","Free","N/A (N/A/81%)","10,000,000 .. 20,000,000","13:08 (24:01)","Wargaming Group Limited","Wargaming Group Limited"
"791","Mount & Blade II: Bannerlord","Oct 25, 2022","$49.99","N/A (N/A/77%)","10,000,000 .. 20,000,000","12:29 (08:42)","TaleWorlds Entertainment","TaleWorlds Entertainment"
"1282","Z1 Battle Royale","Feb 28, 2018","Free","N/A (N/A/70%)","10,000,000 .. 20,000,000","00:00 (00:00)","Daybreak Game Company","Daybreak Game Company"
"1627","Warface","Apr 12, 2012","Free","N/A (N/A/62%)","10,000,000 .. 20,000,000","14:15 (14:15)","MY.GAMES","MY.GAMES"
"4633","Minion Masters","May 24, 2019","Free","N/A (N/A)","10,000,000 .. 20,000,000","17:52 (34:41)","BetaDwarf","BetaDwarf"
"4635","Black Squad","Jun 26, 2019","Free","N/A (N/A)","10,000,000 .. 20,000,000","02:21 (03:41)","VALOFE, NS STUDIO","VALOFE"
"4638","Trove","Jul 9, 2015","N/A","N/A (N/A)","10,000,000 .. 20,000,000","00:21 (00:08)","gamigo US Inc.","gamigo US Inc."
"4639","Ring of Elysium","Sep 19, 2018","Free","N/A (N/A)","10,000,000 .. 20,000,000","02:15 (01:30)","Aurora Studio","TCH Scarlet Limited"
"4640","Robocraft","Aug 24, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Freejam","Freejam"
"4641","Heroes & Generals","Oct 18, 2016","Free","N/A (N/A)","10,000,000 .. 20,000,000","01:50 (02:25)","TLM Partners","TLM Partners"
"4643","World of Tanks Blitz","Nov 9, 2016","Free","N/A (N/A)","10,000,000 .. 20,000,000","02:56 (03:05)","Wargaming Group Limited","Wargaming Group Limited"
"4644","Halo Infinite","Nov 15, 2021","Free","N/A (N/A)","10,000,000 .. 20,000,000","02:19 (01:50)","343 Industries","Xbox Game Studios"
"5090","Half-Life 2: Deathmatch","Nov 1, 2004","$4.99","N/A (N/A)","10,000,000 .. 20,000,000","00:30 (00:19)","Valve","Valve"
"5265","鬼谷八荒 Tale of Immortal","Jan 27, 2021","$19.99","N/A (N/A)","10,000,000 .. 20,000,000","04:34 (01:29)","鬼谷工作室","鬼谷工作室, Lightning Games"
"5273","Call of Duty: Modern Warfare II","Oct 27, 2022","$45.49","N/A (N/A)","10,000,000 .. 20,000,000","10:29 (02:26)","Infinity Ward, Raven Software, Beenox, Treyarch, High Moon Studios, Sledgehammer Games, Activision Shanghai, Demonware, Toys for Bob","Activision"
"5275","7 Days to Die","Dec 13, 2013","$24.99","N/A (N/A)","10,000,000 .. 20,000,000","09:23 (04:15)","The Fun Pimps","The Fun Pimps Entertainment LLC"
"5280","Phasmophobia","Sep 18, 2020","$13.99","N/A (N/A)","10,000,000 .. 20,000,000","04:04 (01:34)","Kinetic Games","Kinetic Games"
"5281","Dead by Daylight","Jun 14, 2016","$19.99","N/A (N/A)","10,000,000 .. 20,000,000","09:45 (03:02)","Behaviour Interactive Inc.","Behaviour Interactive Inc."
"10353","Street Warriors Online","Dec 16, 2016","$1.99","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Crazy Rocks Studios","Crazy Rocks Studios"
"8","BioShock Infinite","Mar 25, 2013","$11.99","N/A (N/A/94%)","5,000,000 .. 10,000,000","00:56 (00:57)","Irrational Games, Virtual Programming (Linux)","2K"
"14","Grand Theft Auto: San Andreas","Jun 6, 2005","N/A","N/A (N/A/93%)","5,000,000 .. 10,000,000","02:01 (00:40)","Rockstar Games","Rockstar Games"
"17","Hades","Sep 17, 2020","$24.99","N/A (N/A/93%)","5,000,000 .. 10,000,000","08:02 (10:46)","Supergiant Games","Supergiant Games"
"18","Red Dead Redemption 2","Dec 5, 2019","$59.99","N/A (N/A/93%)","5,000,000 .. 10,000,000","06:01 (02:23)","Rockstar Games","Rockstar Games"
"47","Half-Life 2: Episode Two","Oct 10, 2007","$7.99","N/A (N/A/90%)","5,000,000 .. 10,000,000","00:01 (00:00)","Valve","Valve"
"49","Grand Theft Auto IV: The Complete Edition","Mar 24, 2020","$19.99","N/A (N/A/90%)","5,000,000 .. 10,000,000","08:04 (06:18)","Rockstar North, Rockstar Toronto","Rockstar Games"
"66","It Takes Two","Mar 25, 2021","$19.99","N/A (N/A/89%)","5,000,000 .. 10,000,000","03:52 (04:17)","Hazelight","Electronic Arts"
"67","Resident Evil 2","Jan 24, 2019","$39.99","N/A (N/A/89%)","5,000,000 .. 10,000,000","03:10 (02:24)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"70","DARK SOULS III","Apr 11, 2016","$59.99","N/A (N/A/89%)","5,000,000 .. 10,000,000","04:40 (02:33)","FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment"
"98","Sekiro: Shadows Die Twice - GOTY Edition","Mar 21, 2019","$59.99","N/A (N/A/88%)","5,000,000 .. 10,000,000","03:38 (02:27)","FromSoftware","Activision (Excluding Japan and Asia), FromSoftware (Japan), 方块游戏 (Asia)"
"131","Total War: WARHAMMER II","Sep 28, 2017","$59.99","N/A (N/A/87%)","5,000,000 .. 10,000,000","05:58 (02:05)","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
"132","Vampire Survivors","Oct 20, 2022","$4.99","N/A (N/A/87%)","5,000,000 .. 10,000,000","05:44 (02:31)","poncle","poncle"
"151","Call of Duty 2","Oct 25, 2005","$19.99","N/A (N/A/86%)","5,000,000 .. 10,000,000","00:23 (00:07)","Infinity Ward","Activision"
"164","Call of Duty: Modern Warfare 2 (2009)","Nov 12, 2009","$19.99","N/A (N/A/86%)","5,000,000 .. 10,000,000","00:44 (00:29)","Infinity Ward","Activision"
"172","Tomb Raider","Mar 4, 2013","$1.99","N/A (N/A/86%)","5,000,000 .. 10,000,000","01:16 (00:50)","Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Nixxes","Crystal Dynamics, Feral Interactive (Mac)"
"208","Risk of Rain 2","Aug 11, 2020","$24.99","N/A (N/A/85%)","5,000,000 .. 10,000,000","05:14 (02:37)","Hopoo Games","Gearbox Publishing"
"267","PlanetSide 2","Nov 20, 2012","Free","N/A (N/A/84%)","5,000,000 .. 10,000,000","02:42 (03:36)","Rogue Planet Games","Daybreak Game Company"
"400","HITMAN 2","Nov 13, 2018","N/A","N/A (N/A/82%)","5,000,000 .. 10,000,000","00:38 (00:12)","IO Interactive A/S","IO Interactive A/S"
"442","MORDHAU","Apr 29, 2019","$29.99","N/A (N/A/81%)","5,000,000 .. 10,000,000","06:00 (09:37)","Triternion","Triternion"
"447","Hunt: Showdown","Aug 27, 2019","$15.99","N/A (N/A/81%)","5,000,000 .. 10,000,000","11:25 (06:55)","Crytek","Crytek"
"532","Guacamelee! Super Turbo Championship Edition","Aug 21, 2014","$14.99","N/A (N/A/80%)","5,000,000 .. 10,000,000","00:00 (00:00)","DrinkBox Studios","DrinkBox Studios"
"552","Day of Defeat: Source","Jul 12, 2010","$9.99","N/A (N/A/80%)","5,000,000 .. 10,000,000","00:24 (00:08)","Valve","Valve"
"563","The Elder Scrolls Online","May 22, 2017","$5.99","N/A (N/A/80%)","5,000,000 .. 10,000,000","34:04 (13:45)","ZeniMax Online Studios","Bethesda Softworks"
"570","Day of Defeat","May 1, 2003","$4.99","N/A (N/A/79%)","5,000,000 .. 10,000,000","00:07 (00:02)","Valve","Valve"
"787","Evolve Stage 2","Feb 10, 2015","N/A","N/A (N/A/77%)","5,000,000 .. 10,000,000","00:00 (00:00)","Turtle Rock Studios","2K"
"829","FOR HONOR","Feb 13, 2017","$14.99","N/A (N/A/76%)","5,000,000 .. 10,000,000","11:35 (10:14)","Ubisoft Montreal, Ubisoft Quebec, Ubisoft Toronto, Blue Byte","Ubisoft"
"1027","Neverwinter","Dec 5, 2013","Free","N/A (N/A/74%)","5,000,000 .. 10,000,000","05:37 (05:37)","Cryptic Studios","Gearbox Publishing"
"1032","Arma 3","Sep 12, 2013","$29.99","N/A (N/A/74%)","5,000,000 .. 10,000,000","09:02 (07:07)","Bohemia Interactive","Bohemia Interactive"
"1053","Black Desert","May 24, 2017","$9.99","N/A (N/A/73%)","5,000,000 .. 10,000,000","50:05 (29:09)","Pearl Abyss","Pearl Abyss"
"1055","Call of Duty: Black Ops III","Nov 5, 2015","$14.99","N/A (N/A/73%)","5,000,000 .. 10,000,000","06:16 (03:08)","Treyarch, Aspyr (Mac)","Activision, Aspyr (Mac)"
"1169","Loadout","Jan 31, 2014","N/A","N/A (N/A/72%)","5,000,000 .. 10,000,000","00:00 (00:00)","Edge of Reality","Edge of Reality"
"1576","Dirty Bomb","Jun 2015","Free","N/A (N/A/63%)","5,000,000 .. 10,000,000","00:00 (00:00)","Splash Damage","Warchest Ltd."
"1638","No Man's Sky","Aug 12, 2016","$29.99","N/A (N/A/61%)","5,000,000 .. 10,000,000","07:16 (03:53)","Hello Games","Hello Games"
"1771","POSTAL","Nov 14, 1997","$19.97","N/A (N/A/56%)","5,000,000 .. 10,000,000","00:00 (00:00)","Running With Scissors","Running With Scissors"
"4564","Freestyle 2: Street Basketball","Apr 1, 2015","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","JOYCITY","JOYCITY"
"4611","Infestation: The New Z","Nov 22, 2016","Free","N/A (N/A)","5,000,000 .. 10,000,000","11:44 (03:54)","Fredaikis AB","OP Productions LLC"
"4615","KurtzPel","Apr 30, 2019","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","KOG","KOG"
"4616","theHunter Classic","Jun 3, 2014","Free","N/A (N/A)","5,000,000 .. 10,000,000","08:49 (11:18)","Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios"
"4617","APB Reloaded","Dec 6, 2011","Free","N/A (N/A)","5,000,000 .. 10,000,000","13:16 (04:25)","Reloaded Productions","Little Orbit"
"4619","Sven Co-op","Jan 19, 1999","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Sven Co-op team","Sven Co-op team"
"4622","Counter-Strike Nexon: Studio","Oct 7, 2014","Free","N/A (N/A)","5,000,000 .. 10,000,000","01:26 (00:28)","Valve, NEXON","NEXON"
"4629","Realm Royale","Jun 5, 2018","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:40 (00:34)","Heroic Leap Games","Hi-Rez Studios"
"4632","World of Tanks","Apr 28, 2021","Free","N/A (N/A)","5,000,000 .. 10,000,000","17:50 (17:49)","Wargaming Group Limited","Wargaming Group Limited"
"4634","No More Room in Hell","Oct 31, 2011","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:18 (00:12)","No More Room in Hell Team","Lever Games"
"4642","Splitgate: Arena Warfare","May 24, 2019","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:52 (00:17)","1047 Games","1047 Games"
"4645","SCP: Secret Laboratory","Dec 29, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","09:54 (09:50)","Northwood Studios","Northwood Studios"
"4646","Life is Strange - Episode 1","Jan 29, 2015","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral interactive (Mac), Feral Interactive (Linux)"
"4700","Half-Life Deathmatch: Source","May 1, 2006","$9.99","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Valve","Valve"
"4987","Team Fortress Classic","Apr 1, 1999","$4.99","N/A (N/A)","5,000,000 .. 10,000,000","00:01 (00:00)","Valve","Valve"
"5157","Half-Life: Opposing Force","Nov 1, 1999","$4.99","N/A (N/A)","5,000,000 .. 10,000,000","00:01 (00:00)","Gearbox Software","Valve"
"5228","Assassin’s Creed IV Black Flag","Coming soon","$39.99","N/A (N/A)","5,000,000 .. 10,000,000","03:01 (03:01)","Ubisoft Montreal","Ubisoft"
