"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"12083","The Dwarves of Glistenveld","Oct 18, 2019","$13.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Nysko Games Ltd.","Nysko Games Ltd."
"12126","A Visit to Friends","Dec 2, 2021","Free","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Joel D.","..."
"12179","Viral Execution","Jul 22, 2020","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","INTI Games Producciones","INTI Games Producciones"
"12245","韦弗利山 - Waverly Hills","Sep 30, 2020","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Gocci Studio","Gocci Studio"
"12256","Carpe Diem Project","Nov 17, 2022","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Papagaye","Papagaye"
"12325","时空梦魇Ⅰ代号608","Aug 23, 2021","$6.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Clock In Dream","Clock In Dream"
"12371","Endangered","Jan 10, 2019","Free","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Strawberry Game Studios, LLC","Strawberry Game Studios, LLC"
"12440","Retro Classix: Night Slashers","Jun 24, 2021","$6.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Data East","Ziggurat, 612 Games"
"12489","Yuri Ogibalov's Bizarre Adventure","Jun 25, 2020","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","OKONNAYA RAMA","OKONNAYA RAMA"
"12506","StalakMiner","Oct 7, 2021","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Heats Inc","Heats Inc"
"12513","Moxie's Lemon","Feb 10, 2023","$2","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Rosstin Murphy","Aqualuft Games"
"12543","Running on Empty","Sep 9, 2022","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","T.F.A.N.C.S.","T.F.A.N.C.S."
"12598","Pleiades - A Subversion Saga Game","Nov 22, 2020","$7.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Joshua Linscott, 1122 Industries","Joshua Linscott, 1122 Industries"
"12599","Our Hero! Two","Oct 29, 2021","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Ste's Project","Ste's Project"
"12772","Escape From Zombies","Nov 8, 2022","$8.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","BiKouZ","PINAL AGENCY"
"12953","Sea Legends","May 31, 1996","$6.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Mir Dialogue, Ocean","Ziggurat"
"12979","Criminal Archives: City on Fire Collector's Edition","Dec 14, 2021","$6.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","DominiGames","DominiGames"
"13010","Majestic Trials","Mar 11, 2021","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Alpha Strike Games Limited","Alpha Strike Games Limited"
"13046","Rendezvous","Apr 10, 2023","$11.69","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Pendopo Creations","Hitcents"
"13198","The Molfar: Call of Heart","Dec 5, 2022","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Brenntkopf Studio Kharkiv","Brenntkopf Studio Publishing"
"13233","Olav: the story of one boy","Apr 30, 2017","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","rupiwood","rupiwood"
"13248","TIERRA - Mystery Point & Click Adventure","Jul 20, 2021","$6.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","M9 Games","M9 Games"
"13260","Hope for City","Sep 16, 2019","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Cloaz Studio","Cloaz Studio"
"13268","Leningrad","Jan 31, 2022","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Under Three","Under Three"
"13304","Alien AI","Feb 19, 2021","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","GridSky Software AS","GridSky Software AS"
"13365","KaraDedeler 1989","Sep 9, 2021","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Helraiser","Helraiser"
"13367","69 Ways to Kill a Zombie","Jun 8, 2017","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Wadup Games","Trinity Project"
"13410","31st prototype","May 4, 2021","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","HAIM","HAIM"
"13488","Prayer of the Faithless","May 27, 2022","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Red_Nova","Red_Nova"
"13494","Dark Slime","May 26, 2022","$1.09","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","DarkNEU","Gales Corp. "
"13537","Turn off the light","Jan 27, 2022","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","SoSad","SoSad"
"13608","Bastard","May 14, 2018","$8.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Aterdux Entertainment","Aterdux Entertainment"
"13609","AMOK","Mar 21, 2016","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Asset Flip Studio","Asset Flip Studio"
"13623","Star Trek: Starfleet Academy","May 8, 2015","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Interplay Entertainment Corp.","Interplay Entertainment Corp."
"13631","Bitcoin Collector","Sep 13, 2017","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Blender Games","Blender Games"
"13678","Gunmetal Arcadia Zero","May 6, 2016","$5.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Minor Key Games","Minor Key Games"
"13684","Outrage","Apr 6, 2016","$3.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Astronomic Games","New Reality Games"
"13689","The 11th Hour","Nov 30, 1995","$5.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Trilobyte Games","Nightdive Studios"
"13711","Midnight Mysteries: Salem Witch Trials","Mar 28, 2012","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","MumboJumbo","MumboJumbo"
"13715","One Wish","Jun 6, 2018","$0.49","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","GDNomaD","GDNomaD"
"13739","Adventures On The Polluted Islands","Feb 17, 2017","$2.99","N/A (N/A)","50,000 .. 100,000","00:35 (00:11)","Uncle Frost Team","Sometimes You"
"13761","Cosmo's Cosmic Adventure","Mar 1, 1992","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","3D Realms (Apogee Software)","3D Realms (Apogee Software)"
"13775","Algotica Iterations","Mar 23, 2017","$6.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Alexander Goodwin","Alexander Goodwin"
"13783","Whateverland","Sep 15, 2022","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Caligari Games","Caligari Games, WhisperGames"
"13786","Queen of Seas","Feb 2, 2017","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","KomBits Game Studio","KomBits Game Studio"
"13800","Save the Ninja Clan","Jan 20, 2017","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Willz","Sometimes You"
"13810","Mahluk:Dark Demon","Jul 19, 2016","$3.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Serkan Bakar","Serkan Bakar"
"13826","Forklift Load","Oct 22, 2020","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","KIMIDORI SOFT","KIMIDORI SOFT"
"13829","Star Control I and II","Nov 17, 1992","$3.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Toys for Bob","Stardock Entertainment"
"13843","Thorne - Son of Slaves (Ep.2)","Aug 26, 2016","$3.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Thorne Games","Aldorlea Games"
"13847","Nirvana Pilot Yume","Dec 13, 2017","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Dev9k","Dev9k"
"13854","BiT Evolution","Jun 9, 2015","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Major Games","Major Games, Burnout Game Ventures"
"13855","Project First Contact","Jul 26, 2017","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Cristian Manolachi, Atomic Fabrik","Cristian Manolachi, Atomic Fabrik"
"13889","Ortharion project","Dec 20, 2020","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Ortharion project","Ortharion project"
"13893","Party of Sin","Dec 13, 2012","$5.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Crankshaft Games","Crankshaft Games"
"13894","- Arcane Raise -","Mar 10, 2017","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Arcane Raise","WAX Publishing"
"13913","Faces of Illusion: The Twin Phantoms","Jan 19, 2017","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Moonrise Interactive","Artifex Mundi"
"13915","Into the Dark: Ultimate Trash Edition","May 1, 2014","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Homegrown Games","Homegrown Games"
"13941","Aveyond 3-1: Lord of Twilight","Feb 7, 2014","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Amaranth Games, LLC","KOMODO"
"13946","Quiver Dick's Terrible Tale For Terrible Parents To Read To Their Equally Terrible Children","Oct 26, 2018","$0.89","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Crankage Games","Crankage Games"
"13965","Girl Amazon Survival","Aug 16, 2016","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Kobra Studio","Kobra Studio"
"13990","Twin Sector","Sep 16, 2009","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","DnS Development","DnS Development"
"14002","Madshot","Jun 9, 2022","$13.39","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Overflow","HOOK"
"14013","Winexy","Jan 13, 2017","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Heaven Brotherhood","GrabTheGames"
"14017","Wooden Floor","Feb 13, 2015","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","pheenix93","pheenix93"
"14020","PRODUCER 2021","Nov 14, 2022","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Stuffed Wombat, ThorHighHeels","Stuffed Wombat"
"14030","The Adventure of Magical Girl","Jun 21, 2018","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Windward_Birds","XNZONE"
"14039","Enola","Sep 18, 2014","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","The Domaginarium","Plug In Digital"
"14054","Feral Fury","Apr 3, 2017","$6.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Skandivania Games","Skandivania Games"
"14066","Gold Rush! Anniversary","Nov 7, 2014","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Sunlight Games","Sunlight Games"
"14089","rooMaze","Mar 3, 2017","Free","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","ChairKilling","Sometimes You"
"14090","The Serpent Rogue","Apr 26, 2022","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Sengi Games","Team17"
"14091","Alien Spidy","Mar 20, 2013","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Enigma SP","Kasedo Games"
"14101","Star Trek : 25th Anniversary","May 7, 2015","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Interplay Entertainment Corp.","Interplay Entertainment Corp."
"14123","A.D. 2047","Jul 8, 2021","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Leenzee Games","Leenzee Games"
"14127","CYBER EMOJI TALE 2099","Mar 3, 2021","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","MICROCHELIK5000","MICROCHELIK5000"
"14132","The Celtos","Feb 1, 2020","Free","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Celtos","The Celtos"
"14133","Moonchild","Apr 22, 2016","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Aldorlea Games","Aldorlea Games"
"14136","Metamorfose S","Jul 4, 2017","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Andre Monteiro","SA Industry"
"14139","Return to Mysterious Island 2","Mar 6, 2014","$7.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Kheops Studio","Microids"
"14148","Orwell's Animal Farm","Dec 10, 2020","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Nerial","The Dairymen"
"14198","Midnight Mysteries","Sep 28, 2009","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","MumboJumbo","MumboJumbo"
"14202","Yargis - Space Melee","Jun 30, 2015","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","PlazSoft","PlazSoft"
"14214","Season Match 3 - Curse of the Witch Crow","Dec 23, 2010","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","URSE Games","ESDigital Games"
"14224","Dungeon of Elements","Jun 12, 2014","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Frogdice","Frogdice"
"14235","阿比斯的宝藏 - Treasure of abyss","Sep 19, 2018","$3.49","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","心之初","心之初"
"14260","Bomb The Monsters!","Nov 6, 2015","$0.28","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Finalboss game studio","Trinity Project"
"14279","Mechanic Miner","May 22, 2019","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Hello John","Hello John"
"14293","The Mahjong Huntress","May 25, 2016","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Nawia Games","Forever Entertainment S. A."
"14305","Epic Quest of the 4 Crystals","Sep 25, 2015","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","RosePortal Games","Aldorlea Games"
"14325","The Sin","May 20, 2021","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Baba Nura","Baba Nura, Feodosiy"
"14343","The Last Sniper VR","Aug 3, 2016","$7.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Robert Weaver","Robert Weaver"
"14345","Grotesque Tactics 2 – Dungeons and Donuts","Nov 21, 2011","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Silent Dreams","Headup Publishing"
"14348","The Tale of a Common Man","Sep 2, 2016","$5.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Aldorlea Games","Aldorlea Games"
"14376","Chronicles of the Witches and Warlocks","Nov 18, 2015","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","8Floor","8Floor"
"14382","Cataclysm: Dark Days Ahead","Mar 31, 2023","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","CleverRaven","KorGgenT"
"14388","Pixel Shopkeeper","Jul 20, 2017","$6.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Pixel Prototype","Pixel Prototype"
"14395","150,000 B.C.","May 30, 2018","$0.28","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","carrot","Garage Games"
"14397","Tex Murphy: Under a Killing Moon","Oct 31, 1994","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Access Software","Nightdive Studios"
"14402","Barrow Hill: Curse of the Ancient Circle","Oct 5, 2006","$1.59","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Shadow Tor Studios","Iceberg Interactive"
"14403","Gatling Gears","Aug 30, 2011","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Vanguard Games","Vanguard Games"
"14407","玉言·离光","Aug 5, 2021","$6.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","DawnLight Workshop","MedusasGame"
"14409","Alum","May 15, 2015","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Crashable Studios","N/A"
"14421","AntharioN","Jul 15, 2015","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Orphic Software","Orphic Software"
"14423","X-note","Mar 8, 2011","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Zeiva Inc","Zeiva Inc"
"14436","Star Explorers","May 8, 2018","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Schmidt Workshops","Schmidt Workshops"
"14438","Art of Murder - FBI Confidential","Jul 29, 2008","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","City Interactive S.A.","City Interactive S.A."
"14451","Beyond Reality","Jan 8, 2016","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","EternalShadow Studios","Aldorlea Games"
"14468","Secret Files: Sam Peters","Oct 18, 2013","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Animation Arts","Ravenscourt"
"14470","Alpha Kimori 1","Mar 17, 2014","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Sherman3D","Sherman3D"
"14478","No Turning Back: The Pixel Art Action-Adventure Roguelike","Jan 15, 2016","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","ColloseusX, cpmilan","Phat Phrog Studios"
"14487","Tulpa","Jan 29, 2015","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Encryptique","Encryptique"
"14534","Tibetan Quest: Beyond the World's End","Apr 7, 2016","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Brave Giant LTD","Artifex Mundi"
"14541","Pixel Puzzles Junior Jigsaw","Feb 17, 2017","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Pixel Puzzles","Pixel Puzzles"
"14547","Earthworms","Feb 23, 2018","$0.59","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","All Those Moments","Ultimate Games S.A., Art Games Studio S.A."
"14575","Take Thy Throne","Jul 5, 2016","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Charyb Games","Charyb Games"
"14584","Love Puzzle","Dec 11, 2020","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Romantic Room","Romantic Room"
"14590","A Magical High School Girl / 魔法の女子高生","Nov 22, 2016","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","illuCalab","Sekai Project"
"14602","Lighthouse Keeper","Nov 22, 2020","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Nikita Kaf","Missing Calm"
"14606","CRIMSON METAL Classic 1999","May 5, 2017","$0.49","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Madbox Entertainment","Madbox Entertainment"
"14618","Season Match","Nov 28, 2007","$3.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","URSE Games","ESDigital Games"
"14627","The Wild Case","Apr 6, 2021","$8.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Specialbit Studio","Specialbit Studio"
"14636","Drop","May 9, 2019","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","uora","uora"
"14655","CrazyCars3D","Mar 28, 2016","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","AneaGames","AneaGames"
"14661","Maytroid. I swear it's a nice game too","Dec 11, 2018","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","PixelGreeds","PixelGreeds"
"14679","Reversion - The Meeting (2nd Chapter)","Mar 12, 2013","$2.49","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","3f Interactive","3f Interactive"
"14681","Nuclear Contingency","Jan 2, 2017","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Amaterasu Software","Amaterasu Software"
"14706","The Moment We Met","Oct 16, 2018","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","萌约游戏制作组","萌约游戏制作组"
"14707","Wanderlust Adventures","Aug 10, 2015","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Yeti Trunk","Chucklefish"
"14715","Chronicle of Innsmouth","May 5, 2017","$5.19","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","PsychoDev","AtomicHorde"
"14717","InFlux","Jul 23, 2013","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Impromptu Games","Impromptu Games"
"14721","The Viking Way","Oct 10, 2020","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Ice Lava Games","Ice Lava Games"
"14732","Police Shootout","Jun 1, 2022","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Games Incubator","Games Incubator, PlayWay S.A."
"14745","Starlink: Battle for Atlas","Apr 30, 2019","$59.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Ubisoft Toronto","Ubisoft"
"14747","Box Maze","Mar 3, 2017","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","GamersHype Productions","SA Industry"
"14750","Purgatory","Jun 22, 2016","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Eduard Mirica","New Reality Games"
"14751","Little hidden city","Feb 28, 2018","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","3dinvis games","3dinvis games"
"14764","The Island: Into The Mist","Jan 31, 2019","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","SUPER WAVE Studio","BADA Games"
"14771","Your Bunny Wrote","Dec 4, 2017","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","SharkGame","Garage Games"
"14776","LoveKami -Healing Harem-","Nov 14, 2018","$12.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","MoeNovel","MoeNovel"
"14798","A Wild Catgirl Appears!","Jan 5, 2016","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","NewWestGames","NewWestGames"
"14807","Antisquad","May 22, 2014","$5.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","InsGames","INSGAMES LIMITED"
"14810","Siege of Dungeon","Jan 11, 2023","$11.69","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Binary Tree Studio","FirePillar2, IndieArk"
"14816","Hanako: Honor & Blade","Sep 14, 2021","Free","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","+Mpact Games, LLC.","+Mpact Games, LLC."
"14837","Cavern Escape Extremely Hard game!!!","Feb 20, 2017","$0.49","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","White Dog Games","SA Industry"
"14850","Epic Manager - Create Your Own Adventuring Agency!","Dec 12, 2016","$17.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","ManaVoid Entertainment","ManaVoid Entertainment, Indie Asylum"
"14852","Last Inua","Dec 11, 2014","$7.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Glowforth","Wired Productions"
"14853","VERGE:Lost chapter","Oct 1, 2015","$0.49","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","GDNomaD","GDNomaD"
"14855","CARNAL","Apr 9, 2021","$0.49","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","JG Roos","Tendokore, MercySoft"
"14861","Adventure Time: Magic Man's Head Games","Apr 5, 2016","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Turbo Button","Cartoon Network"
"14870","Leisure Suit Larry 1 - In the Land of the Lounge Lizards","Dec 18, 2017","$1.19","N/A (N/A)","50,000 .. 100,000","00:06 (00:02)","Assemble Entertainment, Sierra Entertainment, N-Fusion Interactive","Assemble Entertainment"
"14879","Corrosion: Cold Winter Waiting [Enhanced Edition]","Jul 1, 2015","$7.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Viperante","Viperante"
"14881","Wild Island Quest","Sep 4, 2015","$0.51","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","NLB project","NLB project"
"14883","Fursan al-Aqsa: The Knights of the Al-Aqsa Mosque","Apr 18, 2022","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Nidal Nijm Games","Nidal Nijm Games"
"14901","Control Craft 3","Dec 30, 2016","$0.39","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Cristian Manolachi, Atomic Fabrik","Cristian Manolachi, Atomic Fabrik"
"14915","Rituals","May 27, 2015","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Tymon Zgainski","Mudvark"
"14924","Project Explore","Aug 10, 2017","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Fern Nigro","Fern Nigro"
"14925","Poly Squad","Feb 13, 2021","$0.49","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","OXO Games","OXO Games"
"14937","Warhammer Quest 2: The End Times","Jan 30, 2019","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Perchang","Perchang"
"14945","The Agony","Jun 14, 2017","$0.59","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","KishMish Games","KishMish Games"
"14957","Alien Attack","Jun 21, 2016","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Alien Jellyfish","Alien Jellyfish"
"14961","All Guns On Deck","Aug 28, 2015","$1.29","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Decaying Logic","Decaying Logic"
"14965","Inside Depth 6","Mar 12, 2021","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Stanislaw Truchowski","TurnVex"
"14970","Fancy Skiing VR","Aug 6, 2016","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","哈视奇科技","哈视奇科技"
"14976","MetaPhysical","Oct 28, 2021","$11.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Paper Promises Programming","Paper Promises Programming"
"14978","Koumajou Remilia: Scarlet Symphony","Jul 27, 2022","$29.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Frontier Aja, CFK Co., Ltd.","CFK Co., Ltd."
"14985","Demon Hunter 2: New Chapter","Jul 21, 2016","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Brave Giant LTD","Artifex Mundi"
"15015","好久不见 - Long Time No See","Sep 14, 2020","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","SleepwalkStudio, 橙光游戏","橙光游戏"
"15017","Black Sails - The Ghost Ship","Sep 17, 2015","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Deck13","Deck13"
"15019","幻想三國誌5/Fantasia Sango 5","Aug 15, 2018","$29.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","USERJOY Technology Co.,Ltd.","USERJOY Technology Co.,Ltd."
"15020","Gunspell - Steam Edition","Nov 7, 2014","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Ino-Co Plus","AKPublish pty ltd"
"15034","Lolita Expedition","Jan 14, 2022","$4.49","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","GIRLSOUL","GIRLSOUL, DreamStep"
"15040","Araha : Curse of Yieun Island","Jan 6, 2020","$15.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Palmsoft","Palmsoft"
"15058","Eleusis","Oct 16, 2013","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Nocturnal works","Nocturnal works"
"15059","Malice","Nov 2, 2022","$7.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Nimbus Games","SCRY SOFT"
"15073","MechDefender - Tower Defense","Mar 3, 2020","$0.39","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi"
"15075","Unexplored 2: The Wayfarer's Legacy","May 27, 2022","$24.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Ludomotion","Ludomotion"
