"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"100","Tomb Raider","Mar 4, 2013","$1.99","N/A (N/A/86%)","5,000,000 .. 10,000,000","01:16 (00:50)","Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Nixxes","Crystal Dynamics, Feral Interactive (Mac)"
"415","Guacamelee! Super Turbo Championship Edition","Aug 21, 2014","$14.99","N/A (N/A/80%)","5,000,000 .. 10,000,000","00:00 (00:00)","DrinkBox Studios","DrinkBox Studios"
"444","The Elder Scrolls Online","May 22, 2017","$5.99","N/A (N/A/80%)","5,000,000 .. 10,000,000","34:04 (13:45)","ZeniMax Online Studios","Bethesda Softworks"
"646","Kathy Rain","May 5, 2016","$9.99","N/A (N/A/77%)","5,000,000 .. 10,000,000","00:00 (00:00)","Clifftop Games","Raw Fury"
"900","Neverwinter","Dec 5, 2013","Free","N/A (N/A/74%)","5,000,000 .. 10,000,000","05:37 (05:37)","Cryptic Studios","Gearbox Publishing"
"964","A Story About My Uncle","May 28, 2014","$14.99","N/A (N/A/73%)","5,000,000 .. 10,000,000","05:01 (01:40)","Gone North Games","Coffee Stain Publishing"
"967","Black Desert","May 24, 2017","$9.99","N/A (N/A/73%)","5,000,000 .. 10,000,000","50:05 (29:09)","Pearl Abyss","Pearl Abyss"
"969","Call of Duty: Black Ops III","Nov 5, 2015","$14.99","N/A (N/A/73%)","5,000,000 .. 10,000,000","06:16 (03:08)","Treyarch, Aspyr (Mac)","Activision, Aspyr (Mac)"
"1433","The Tiny Bang Story","Apr 22, 2011","$4.99","N/A (N/A/63%)","5,000,000 .. 10,000,000","00:00 (00:00)","Colibri Games","Colibri Games"
"1480","No Man's Sky","Aug 12, 2016","$29.99","N/A (N/A/61%)","5,000,000 .. 10,000,000","07:16 (03:53)","Hello Games","Hello Games"
"3311","theHunter Classic","Jun 3, 2014","Free","N/A (N/A)","5,000,000 .. 10,000,000","08:49 (11:18)","Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios"
"3320","Clicker Heroes","May 13, 2015","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:57 (00:37)","Playsaurus","Playsaurus"
"3326","Life is Strange - Episode 1","Jan 29, 2015","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral interactive (Mac), Feral Interactive (Linux)"
"17599","Braveland","Mar 17, 2014","$1.99","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Tortuga Team","Tortuga Team"
"18096","Assassin’s Creed IV Black Flag","Coming soon","$39.99","N/A (N/A)","5,000,000 .. 10,000,000","03:01 (03:01)","Ubisoft Montreal","Ubisoft"
"18106","Tom Clancy’s The Division","Mar 7, 2016","$29.99","N/A (N/A)","5,000,000 .. 10,000,000","28:35 (09:31)","Massive Entertainment","Ubisoft"
"18109","Battlefield 2042","Nov 19, 2021","$59.99","N/A (N/A)","5,000,000 .. 10,000,000","06:15 (02:41)","DICE","Electronic Arts"
"18118","The Sims 4","Sep 2, 2014","Free","N/A (N/A)","5,000,000 .. 10,000,000","03:57 (02:55)","Maxis","Electronic Arts"
"18122","Scrap Mechanic","Jan 19, 2016","$19.99","N/A (N/A)","5,000,000 .. 10,000,000","00:34 (00:11)","Axolot Games","Axolot Games"
"18124","Castle Crashers","Sep 26, 2012","$14.99","N/A (N/A)","5,000,000 .. 10,000,000","04:56 (04:55)","The Behemoth","The Behemoth"
"18127","Sons Of The Forest","Feb 23, 2023","$29.99","N/A (N/A)","5,000,000 .. 10,000,000","06:03 (04:20)","Endnight Games Ltd","Newnight"
"18133","NARAKA: BLADEPOINT","Aug 11, 2021","$19.99","N/A (N/A)","5,000,000 .. 10,000,000","16:19 (06:14)","24 Entertainment","NetEase Games Global"
"18139","Sea of Thieves 2023 Edition","Jun 3, 2020","$39.99","N/A (N/A)","5,000,000 .. 10,000,000","11:10 (11:34)","Rare Ltd","Xbox Game Studios"
"18140","DayZ","Dec 13, 2018","$44.99","N/A (N/A)","5,000,000 .. 10,000,000","10:14 (05:38)","Bohemia Interactive","Bohemia Interactive"
