Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text,dev_pub_relation,accion,aventura,deportes,early,estrategia,free,mmorpg,rpg,simulacion,indie,Release year,dev_code
Resident Evil 4,2023-03-23,59.99,"2,000,000 .. 5,000,000","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",2.00E+06,5000000.0,2.0M,5.0M,igual,1,1,0,0,0,0,0,0,0,0,2023.0,2
Capcom Arcade Stadium,2021-05-24,15.1,"2,000,000 .. 5,000,000","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",2.00E+06,5000000.0,2.0M,5.0M,igual,1,0,0,0,0,0,0,0,0,0,2021.0,2
Nioh: Complete Edition,2017-11-07,49.99,"1,000,000 .. 2,000,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",1.00E+06,2000000.0,1.0M,2.0M,igual,1,0,0,0,0,0,0,1,0,0,2017.0,5
Resident Evil,2015-01-19,19.99,"1,000,000 .. 2,000,000","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",1.00E+06,2000000.0,1.0M,2.0M,igual,1,1,0,0,0,0,0,0,0,0,2015.0,2
Watch_Dogs,2014-05-26,29.99,"1,000,000 .. 2,000,000",Ubisoft,Ubisoft,1.00E+06,2000000.0,1.0M,2.0M,igual,1,1,0,0,0,0,0,0,0,0,2014.0,4
Resident Evil 3,2020-04-02,39.99,"1,000,000 .. 2,000,000","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",1.00E+06,2000000.0,1.0M,2.0M,igual,1,0,0,0,0,0,0,0,0,0,2020.0,2
Medal of Honor,2010-10-12,4.99,"1,000,000 .. 2,000,000",Electronic Arts,Electronic Arts,1.00E+06,2000000.0,1.0M,2.0M,igual,1,0,0,0,0,0,0,0,0,0,2010.0,6
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,2014-05-13,49.99,"1,000,000 .. 2,000,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",1.00E+06,2000000.0,1.0M,2.0M,igual,1,0,0,0,0,0,0,0,0,0,2014.0,5
DYNASTY WARRIORS 9,2018-02-13,44.99,"1,000,000 .. 2,000,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",1.00E+06,2000000.0,1.0M,2.0M,igual,1,0,0,0,0,0,0,0,0,0,2018.0,5
Devil May Cry 4 Special Edition,2015-06-23,24.99,"1,000,000 .. 2,000,000","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",1.00E+06,2000000.0,1.0M,2.0M,igual,1,0,0,0,0,0,0,0,0,0,2015.0,2
Resident Evil Revelations 2,2015-02-24,5.99,"1,000,000 .. 2,000,000","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",1.00E+06,2000000.0,1.0M,2.0M,igual,1,1,0,0,0,0,0,0,0,0,2015.0,2
Red Dead Online,2020-12-01,19.99,"1,000,000 .. 2,000,000",Rockstar Games,Rockstar Games,1.00E+06,2000000.0,1.0M,2.0M,igual,1,1,0,0,0,0,0,0,0,0,2020.0,3
Capcom Arcade 2nd Stadium,2022-07-21,39.99,"1,000,000 .. 2,000,000","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",1.00E+06,2000000.0,1.0M,2.0M,igual,1,0,0,0,0,0,0,0,0,0,2022.0,2
