Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Grave Prosperity - part 1,2018-04-30,4.99,"0 .. 20,000",Dark Room Games,Dark Room Games,0.00E+00,2.00E+04,0,20.0K
Dement,2019-10-31,39.99,"0 .. 20,000",Paracytik Entertainment,Paracytik Entertainment,0.00E+00,2.00E+04,0,20.0K
Unfamiliar,2019-12-12,7.99,"0 .. 20,000",Mana Tea Games,Mana Tea Games,0.00E+00,2.00E+04,0,20.0K
RPG: Squad battle,2021-07-22,4.99,"0 .. 20,000","Tero Lunkka, Valkeala Software",Tero Lunkka,0.00E+00,2.00E+04,0,20.0K
絶叫死人（Zombie Scream）,2022-06-02,5.99,"0 .. 20,000","Vaka Game Magazine, ImCyan",Vaka Game Magazine,0.00E+00,2.00E+04,0,20.0K
Tower of Fate,2019-08-13,5.99,"0 .. 20,000",Barry McCabe,Clockwork Wolf,0.00E+00,2.00E+04,0,20.0K
ORBITOR,2015-08-21,14.99,"0 .. 20,000",Evil Aliens,Evil Aliens,0.00E+00,2.00E+04,0,20.0K
Norman's Great Illusion,2019-08-29,2.99,"0 .. 20,000",Civil Savages,Civil Savages,0.00E+00,2.00E+04,0,20.0K
Zeus Quest Remastered,2016-05-09,,"0 .. 20,000",Crazysoft Limited,Crazysoft Limited,0.00E+00,2.00E+04,0,20.0K
Dreamlike Worlds,2017-03-06,0.99,"0 .. 20,000",JustForward,JustForward,0.00E+00,2.00E+04,0,20.0K
Labirinto 2,2020-03-14,1.99,"0 .. 20,000",Iriya72,Iriya72,0.00E+00,2.00E+04,0,20.0K
Amazing Superhero Squad,2021-10-22,6.99,"0 .. 20,000",Siberian Koala,Siberian Koala,0.00E+00,2.00E+04,0,20.0K
Rune Break,2023-03-25,0.0,"0 .. 20,000",SuperBlast,SuperBlast,0.00E+00,2.00E+04,0,20.0K
Scribbleman Army,2022-09-23,5.99,"0 .. 20,000",Hope Drinkers,Hope Drinkers,0.00E+00,2.00E+04,0,20.0K
VROOM: Galleon,2016-09-05,6.99,"0 .. 20,000",VROOM,VROOM,0.00E+00,2.00E+04,0,20.0K
RED CUBE VR,2017-05-10,8.99,"0 .. 20,000","Bartosh Polonski, Urte Milda Sirvinskaite",Gluk Media,0.00E+00,2.00E+04,0,20.0K
Visceral Cubes,2018-05-03,0.99,"0 .. 20,000",Ominous Entertainment,Ominous Entertainment,0.00E+00,2.00E+04,0,20.0K
Junglex,2019-04-05,0.28,"0 .. 20,000",RewindApp,RewindApp,0.00E+00,2.00E+04,0,20.0K
STOLEN CITY,2022-05-20,10.49,"0 .. 20,000",LeeJones Games Development,LeeJones Games Development,0.00E+00,2.00E+04,0,20.0K
Penitence,2022-06-15,1.99,"0 .. 20,000",Violet Angel Interactive,Violet Angel Interactive,0.00E+00,2.00E+04,0,20.0K
MacGuffin,2016-02-18,2.99,"0 .. 20,000","Concrete Games Classic, Corentin Derbré",Gem Rose Accent,0.00E+00,2.00E+04,0,20.0K
Spooky Heroes,2016-02-07,4.99,"0 .. 20,000",Gaweb Studio,Gaweb Studio,0.00E+00,2.00E+04,0,20.0K
Drakkhen,2018-02-08,7.99,"0 .. 20,000",Infogrames,Atari,0.00E+00,2.00E+04,0,20.0K
The Last Sigil,2019-03-28,7.99,"0 .. 20,000",Redden,Redden,0.00E+00,2.00E+04,0,20.0K
Eternal Man: Mountain,2018-04-06,0.99,"0 .. 20,000",eProdigy,advocatus,0.00E+00,2.00E+04,0,20.0K
Ero Date,2018-09-06,1.49,"0 .. 20,000",meokigame,meokigame,0.00E+00,2.00E+04,0,20.0K
零怨 The curse of the dead,2020-02-06,2.99,"0 .. 20,000",Lan Yao studio,Lan Yao studio,0.00E+00,2.00E+04,0,20.0K
