Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Nudist Beach Survival Simulator,2017-09-28,1.99,"0 .. 20,000",Tornado Games,Tornado Games,0.00E+00,2.00E+04,0,20.0K
ElectricVLab,2018-12-20,12.99,"0 .. 20,000",Q1TEK LLC,Q1TEK LLC,0.00E+00,2.00E+04,0,20.0K
单身狗的最后机会,2021-04-08,0.99,"0 .. 20,000",小鱼工作室,小鱼工作室,0.00E+00,2.00E+04,0,20.0K
Gachi Dungeon Master,2021-03-26,1.99,"0 .. 20,000",Slippy Floor,Slippy Floor,0.00E+00,2.00E+04,0,20.0K
Project RTD: Random Tower Defense VR,2020-05-18,8.99,"0 .. 20,000",JAMONG,NGELGAMES,0.00E+00,2.00E+04,0,20.0K
Virtual Families,2009-05-06,9.99,"0 .. 20,000",Last Day of Work,Last Day of Work,0.00E+00,2.00E+04,0,20.0K
Cyberpunk SFX,2020-11-29,11.99,"0 .. 20,000",Whale Rock Games,Whale Rock Games,0.00E+00,2.00E+04,0,20.0K
Sakura Forest Girls,2021-04-19,9.99,"0 .. 20,000",Winged Cloud,Winged Cloud,0.00E+00,2.00E+04,0,20.0K
Routine Feat,2022-05-11,9.99,"0 .. 20,000",sad3d,ИЛЬЯМАЗО,0.00E+00,2.00E+04,0,20.0K
Blueplanet VR,2020-06-16,24.99,"0 .. 20,000",Blueplanet VR,Blueplanet VR,0.00E+00,2.00E+04,0,20.0K
Saints and Sinners,2021-04-16,6.99,"0 .. 20,000",threeW,threeW,0.00E+00,2.00E+04,0,20.0K
Dimension Drifter,2018-09-27,12.99,"0 .. 20,000",BlueEagle Productions,Paul Schneider,0.00E+00,2.00E+04,0,20.0K
The Sealed Ampoule,2021-03-04,19.99,"0 .. 20,000",CAVYHOUSE,PLAYISM,0.00E+00,2.00E+04,0,20.0K
AccrO,2022-05-24,0.28,"0 .. 20,000",Walter Machado,Walter Machado,0.00E+00,2.00E+04,0,20.0K
Ad Agency Tycoon,2020-07-27,11.99,"0 .. 20,000",BarCoffee Studio,BarCoffee Studio,0.00E+00,2.00E+04,0,20.0K
Titanic: Fall Of A Legend,2022-02-11,5.99,"0 .. 20,000",Interactive Gaming Studios,Interactive Gaming Studios,0.00E+00,2.00E+04,0,20.0K
ADULT SHERIFF,2020-01-04,0.99,"0 .. 20,000",Konnichiwa Games,Konnichiwa Games,0.00E+00,2.00E+04,0,20.0K
Pizza Connection,2017-04-05,0.59,"0 .. 20,000",Assemble Entertainment,Assemble Entertainment,0.00E+00,2.00E+04,0,20.0K
Terminal Conflict,2020-09-24,29.99,"0 .. 20,000","Strategy Mill, BL-Logic, Scribble Pad Studios, Polywickstudio",Strategy Mill,0.00E+00,2.00E+04,0,20.0K
Rugby Union Team Manager 3,2020-10-08,39.99,"0 .. 20,000",Alternative Software Ltd,Alternative Software Ltd,0.00E+00,2.00E+04,0,20.0K
DOGOS,2016-09-06,11.99,"0 .. 20,000",OPQAM,INTERNET URL S.A.,0.00E+00,2.00E+04,0,20.0K
The Backrooms Footage,2022-09-02,7.99,"0 .. 20,000",Untold Backrooms Stories,Untold Backrooms Stories,0.00E+00,2.00E+04,0,20.0K
INMATE: Survival,2021-04-06,9.99,"0 .. 20,000",SV Games,SV Games,0.00E+00,2.00E+04,0,20.0K
Windstorm: An Unexpected Arrival,2019-03-28,14.99,"0 .. 20,000",Aesir Interactive,Mindscape,0.00E+00,2.00E+04,0,20.0K
Trivia Vault: Hockey Trivia,2018-04-03,9.99,"0 .. 20,000",Ripknot Systems,Ripknot Systems,0.00E+00,2.00E+04,0,20.0K
Trivia Vault: Classic Rock Trivia 2,2017-08-23,9.99,"0 .. 20,000",Ripknot Systems,Ripknot Systems,0.00E+00,2.00E+04,0,20.0K
My Factory 我的工厂,2017-09-21,6.99,"0 .. 20,000",Great God,Great God,0.00E+00,2.00E+04,0,20.0K
Trivia Vault: Science & History Trivia,2017-08-14,9.99,"0 .. 20,000",Ripknot Systems,Ripknot Systems,0.00E+00,2.00E+04,0,20.0K
Click and Manage Tycoon,2018-09-19,3.99,"0 .. 20,000",Cloaz Studio,Cloaz Studio,0.00E+00,2.00E+04,0,20.0K
Broken Spell 2,2020-02-10,9.99,"0 .. 20,000",Jaming Soo,YIBAILI SOFTWARE,0.00E+00,2.00E+04,0,20.0K
Ultra Off-Road 2019: Alaska,2019-02-22,19.99,"0 .. 20,000",IceTorch Interactive,IceTorch Interactive,0.00E+00,2.00E+04,0,20.0K
The Legend of Bear-Truck Trucker,2021-04-30,4.99,"0 .. 20,000",Captain Games,Captain Games,0.00E+00,2.00E+04,0,20.0K
Adelantado Trilogy. Book one,2015-12-01,4.99,"0 .. 20,000",Whiterra,Qumaron,0.00E+00,2.00E+04,0,20.0K
Naval Hurricane,2022-11-16,9.99,"0 .. 20,000",Efril,Efril,0.00E+00,2.00E+04,0,20.0K
Illuminaria,2022-08-04,14.99,"0 .. 20,000",Selva Interactive,"Selva Interactive, Wings",0.00E+00,2.00E+04,0,20.0K
Pocket Clothier,2022-07-24,8.99,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,2.00E+04,0,20.0K
Loco Shortline Operations,2021-12-22,16.99,"0 .. 20,000",TSRS,TSRS,0.00E+00,2.00E+04,0,20.0K
DragonRideVR,2020-08-01,14.99,"0 .. 20,000",TypeEh Studios,TypeEh Studios,0.00E+00,2.00E+04,0,20.0K
Rise Of The White Sun,2022-09-26,16.99,"0 .. 20,000",Maestro Cinetik,"Gaming at Work, Cinetique",0.00E+00,2.00E+04,0,20.0K
SGS Winter War,2020-07-15,19.99,"0 .. 20,000",The Strategy Game Studio,Avalon Digital,0.00E+00,2.00E+04,0,20.0K
Paranormal Detective: Escape from the 90's,2022-01-18,11.99,"0 .. 20,000",LunaBeat,LunaBeat,0.00E+00,2.00E+04,0,20.0K
Milling Machine Simulator 3D,2022-02-22,19.99,"0 .. 20,000","Igor Frank, Ursa Masnec",UI-Games,0.00E+00,2.00E+04,0,20.0K
Lodventure,2022-12-12,9.99,"0 .. 20,000",Sky Games,Sky Games,0.00E+00,2.00E+04,0,20.0K
ToGather:Island,2019-12-03,14.99,"0 .. 20,000","Studio Kamii, Todak Studios",Todak Studios,0.00E+00,2.00E+04,0,20.0K
Rescue Team 3,2015-09-23,4.99,"0 .. 20,000",Alawar Entertainment,ESDigital Games,0.00E+00,2.00E+04,0,20.0K
Space Wars,2019-11-09,0.39,"0 .. 20,000",High and Wide,khukhrovr,0.00E+00,2.00E+04,0,20.0K
Lusitania,2020-04-10,3.99,"0 .. 20,000",Interactive Gaming Studios,Interactive Gaming Studios,0.00E+00,2.00E+04,0,20.0K
uFactory,2019-04-15,24.99,"0 .. 20,000",Lucid Silence Games,Lucid Silence Games,0.00E+00,2.00E+04,0,20.0K
Showrunner,2023-01-17,8.99,"0 .. 20,000",Inexplicable Games,Inexplicable Games,0.00E+00,2.00E+04,0,20.0K
DevLife,2020-08-21,10.99,"0 .. 20,000",Roman Studio,Mesote Games,0.00E+00,2.00E+04,0,20.0K
TRESPASS - Episode 1,2016-08-04,15.99,"0 .. 20,000",VRotein,VRotein,0.00E+00,2.00E+04,0,20.0K
Traffix,2019-07-08,4.99,"0 .. 20,000",Infinity Games,Infinity Games,0.00E+00,2.00E+04,0,20.0K
Goblin's Shop,2018-11-16,9.99,"0 .. 20,000",CYCLOPS,"CYCLOPS, Light of Creators",0.00E+00,2.00E+04,0,20.0K
