Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Hearts of Iron IV,2016-06-06,39.99,"5,000,000 .. 10,000,000",Paradox Development Studio,Paradox Interactive,5.00E+06,1.00E+07,5.0M,10.0M
Company of Heroes 2,2013-06-25,19.99,"5,000,000 .. 10,000,000","Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",5.00E+06,1.00E+07,5.0M,10.0M
Arma 3,2013-09-12,29.99,"5,000,000 .. 10,000,000",Bohemia Interactive,Bohemia Interactive,5.00E+06,1.00E+07,5.0M,10.0M
Black Desert,2017-05-24,9.99,"5,000,000 .. 10,000,000",Pearl Abyss,Pearl Abyss,5.00E+06,1.00E+07,5.0M,10.0M
Age of Empires II (2013),2013-04-09,19.99,"5,000,000 .. 10,000,000","Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires",Xbox Game Studios,5.00E+06,1.00E+07,5.0M,10.0M
Clicker Heroes,2015-05-13,0.0,"5,000,000 .. 10,000,000",Playsaurus,Playsaurus,5.00E+06,1.00E+07,5.0M,10.0M
Dota Underlords,2019-06-20,0.0,"5,000,000 .. 10,000,000",Valve,Valve,5.00E+06,1.00E+07,5.0M,10.0M
Braveland,2014-03-17,1.99,"5,000,000 .. 10,000,000",Tortuga Team,Tortuga Team,5.00E+06,1.00E+07,5.0M,10.0M
Company of Heroes - Legacy Edition,2006-09-11,19.99,"2,000,000 .. 5,000,000",Relic Entertainment,SEGA,2.00E+06,5.00E+06,2.0M,5.0M
Crusader Kings III,2020-09-01,49.99,"2,000,000 .. 5,000,000",Paradox Development Studio,Paradox Interactive,2.00E+06,5.00E+06,2.0M,5.0M
Total War: EMPIRE – Definitive Edition,2009-03-04,24.99,"2,000,000 .. 5,000,000","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",2.00E+06,5.00E+06,2.0M,5.0M
Total War: SHOGUN 2,2011-03-15,29.99,"2,000,000 .. 5,000,000","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",2.00E+06,5.00E+06,2.0M,5.0M
XCOM: Enemy Unknown,2012-10-08,29.99,"2,000,000 .. 5,000,000","Firaxis Games, Feral Interactive (Linux)","2K, Feral Interactive (Linux)",2.00E+06,5.00E+06,2.0M,5.0M
Slay the Spire,2019-01-23,24.99,"2,000,000 .. 5,000,000",Mega Crit Games,Mega Crit Games,2.00E+06,5.00E+06,2.0M,5.0M
EVE Online,2003-05-06,0.0,"2,000,000 .. 5,000,000",CCP,CCP,2.00E+06,5.00E+06,2.0M,5.0M
Plants vs. Zombies GOTY Edition,2009-05-05,2.99,"2,000,000 .. 5,000,000","PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",2.00E+06,5.00E+06,2.0M,5.0M
Europa Universalis IV,2013-08-13,39.99,"2,000,000 .. 5,000,000","Paradox Development Studio, Paradox Tinto",Paradox Interactive,2.00E+06,5.00E+06,2.0M,5.0M
RimWorld,2018-10-17,34.99,"2,000,000 .. 5,000,000",Ludeon Studios,Ludeon Studios,2.00E+06,5.00E+06,2.0M,5.0M
Total War: WARHAMMER,2016-05-24,59.99,"2,000,000 .. 5,000,000","CREATIVE ASSEMBLY, Feral Interactive (Linux), Feral Interactive (Mac)","SEGA, Feral Interactive (Linux), Feral Interactive (Mac)",2.00E+06,5.00E+06,2.0M,5.0M
"Warhammer 40,000: Dawn of War II",2009-02-18,19.99,"2,000,000 .. 5,000,000","Relic Entertainment, Feral Interactive (Mac/Linux)","SEGA, Feral Interactive (Mac/Linux)",2.00E+06,5.00E+06,2.0M,5.0M
Total War: WARHAMMER III,2022-02-16,59.99,"2,000,000 .. 5,000,000","CREATIVE ASSEMBLY, Feral Interactive","SEGA, Feral Interactive",2.00E+06,5.00E+06,2.0M,5.0M
Total War: THREE KINGDOMS,2019-05-23,59.99,"2,000,000 .. 5,000,000","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",2.00E+06,5.00E+06,2.0M,5.0M
SPORE,2008-12-19,4.99,"2,000,000 .. 5,000,000",Maxis™,Electronic Arts,2.00E+06,5.00E+06,2.0M,5.0M
FTL: Faster Than Light,2012-09-14,9.99,"2,000,000 .. 5,000,000",Subset Games,Subset Games,2.00E+06,5.00E+06,2.0M,5.0M
Frostpunk,2018-04-24,29.99,"2,000,000 .. 5,000,000",11 bit studios,11 bit studios,2.00E+06,5.00E+06,2.0M,5.0M
Darkest Dungeon,2016-01-19,3.74,"2,000,000 .. 5,000,000",Red Hook Studios,Red Hook Studios,2.00E+06,5.00E+06,2.0M,5.0M
Age of Empires II: Definitive Edition,2019-11-14,19.99,"2,000,000 .. 5,000,000","Forgotten Empires, Tantalus Media, Wicked Witch, World's Edge",Xbox Game Studios,2.00E+06,5.00E+06,2.0M,5.0M
Orcs Must Die! 2,2012-07-30,14.99,"2,000,000 .. 5,000,000",Robot Entertainment,Robot Entertainment,2.00E+06,5.00E+06,2.0M,5.0M
L.A. Noire,2011-11-08,19.99,"2,000,000 .. 5,000,000","Team Bondi, Rockstar Leeds",Rockstar Games,2.00E+06,5.00E+06,2.0M,5.0M
Sins of a Solar Empire: Rebellion,2012-06-12,39.99,"2,000,000 .. 5,000,000","Ironclad Games, Stardock Entertainment",Stardock Entertainment,2.00E+06,5.00E+06,2.0M,5.0M
