Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Pirates of Gravitae,2022-03-31,9.99,"0 .. 20,000",Innerverse Games,Innerverse Games,0.00E+00,2.00E+04,0,20.0K
Pocket Rocket,2022-01-16,4.99,"0 .. 20,000",Jazzcat games,Jazzcat games,0.00E+00,2.00E+04,0,20.0K
Praecantor Lila ~ Bell Spell,2022-03-11,11.99,"0 .. 20,000",Lunacy Indeterminate,Lunacy Indeterminate,0.00E+00,2.00E+04,0,20.0K
ShapeVS,2022-09-29,7.99,"0 .. 20,000",Smash Attack Aus,Smash Attack Aus,0.00E+00,2.00E+04,0,20.0K
Stretchy-Man: The Video Game,2022-03-31,3.99,"0 .. 20,000",JaxGames,JaxGames,0.00E+00,2.00E+04,0,20.0K
Psycho Crab,2022-03-28,4.99,"0 .. 20,000",Walugus Grudenburg,Walugus Grudenburg,0.00E+00,2.00E+04,0,20.0K
Escape Purgatory,2022-10-21,9.99,"0 .. 20,000",JamBit,JamBit,0.00E+00,2.00E+04,0,20.0K
Bird and Beast Fantasy,2022-04-07,0.99,"0 .. 20,000","雍乐蜜獾, Happy Honey Badger","雍乐蜜獾, Happy Honey Badger",0.00E+00,2.00E+04,0,20.0K
Armageddon War:Old Era Wreckers / 大鏖战:旧时代的残党,2022-05-06,5.99,"0 .. 20,000",freeflyfish,freeflyfish,0.00E+00,2.00E+04,0,20.0K
Knights of the Exploding Table,2022-05-29,5.99,"0 .. 20,000","Shane J. Mitchell, Jeremy D. Roll",Grand Hawk Union,0.00E+00,2.00E+04,0,20.0K
Cyber Drift,2022-07-04,4.49,"0 .. 20,000",Meng Games,Meng Games,0.00E+00,2.00E+04,0,20.0K
Pixa Clicker,2022-07-28,4.99,"0 .. 20,000",Studio Seeck,Studio Seeck,0.00E+00,2.00E+04,0,20.0K
Hold Controller,2022-07-19,3.6,"0 .. 20,000",InkofCake,InkofCake,0.00E+00,2.00E+04,0,20.0K
Controller Sync,2022-07-21,0.99,"0 .. 20,000",Matti Kuehl,Matti Kuehl,0.00E+00,2.00E+04,0,20.0K
Mongrel Games Minigames,2022-10-25,9.99,"0 .. 20,000",Mongrel Games,Mongrel Games,0.00E+00,2.00E+04,0,20.0K
Sumo Seals,2022-10-22,19.99,"0 .. 20,000",Victor Chui,Neokoro,0.00E+00,2.00E+04,0,20.0K
Note of Janus,2022-08-05,11.99,"0 .. 20,000",WOOAS,"WOOAS, Delight",0.00E+00,2.00E+04,0,20.0K
Highway Rampage,2022-08-29,5.99,"0 .. 20,000",Lasso Games,Lasso Games,0.00E+00,2.00E+04,0,20.0K
Discvivors,2022-09-04,2.99,"0 .. 20,000",Andrew Werkheiser,Andrew Werkheiser,0.00E+00,2.00E+04,0,20.0K
Hooligan James,2022-09-11,8.99,"0 .. 20,000",Orange Squeeb,Orange Squeeb,0.00E+00,2.00E+04,0,20.0K
Tankron,2022-11-19,2.99,"0 .. 20,000",Gestalt Games,Gestalt Games,0.00E+00,2.00E+04,0,20.0K
Dodge The Missionaries,2022-09-20,5.99,"0 .. 20,000","Erik McCoy - F4ngb0n3, Brady Stanton - ThePhilly_",HandiQuack Studios,0.00E+00,2.00E+04,0,20.0K
sunny-place-2,2022-11-30,6.99,"0 .. 20,000",tjern,tjern,0.00E+00,2.00E+04,0,20.0K
Outworld Patrol,2022-12-12,1.99,"0 .. 20,000",rainstory.games,rainstory.games,0.00E+00,2.00E+04,0,20.0K
PERCNOPS VIRTUAL RIG,2022-11-19,29.99,"0 .. 20,000",Percnops,Percnops,0.00E+00,2.00E+04,0,20.0K
Brutal TD,2022-12-16,1.99,"0 .. 20,000",Merriman Games,Merriman Games,0.00E+00,2.00E+04,0,20.0K
The Motorcycle,2023-01-09,1.99,"0 .. 20,000",Tobacom,Tobacom,0.00E+00,2.00E+04,0,20.0K
Dancing Pandas,2022-12-25,7.99,"0 .. 20,000","Panda Games, Nopia",Panda Games,0.00E+00,2.00E+04,0,20.0K
Pact of Steel,2023-02-28,14.99,"0 .. 20,000",Steel Potato Games LLC,Steel Potato Games LLC,0.00E+00,2.00E+04,0,20.0K
GHOST: AC-130 Close Air Support,2023-02-23,3.99,"0 .. 20,000",Lightning6Kidnap,Lightning6Kidnap,0.00E+00,2.00E+04,0,20.0K
CardShark,2023-03-01,5.99,"0 .. 20,000",Brandon Taylor,Brandon Taylor,0.00E+00,2.00E+04,0,20.0K
Ugmania,2023-03-08,0.99,"0 .. 20,000",ErroneousCreationist,ErroneousCreationist,0.00E+00,2.00E+04,0,20.0K
Running Riot,2023-03-17,2.99,"0 .. 20,000",Party Moose Games,Party Moose Games,0.00E+00,2.00E+04,0,20.0K
Paintey,2016-04-18,9.99,"0 .. 20,000",Brian Lindenhof,ShadowBrain Games,0.00E+00,2.00E+04,0,20.0K
Supa Kila Monsta Hunta,2016-10-06,7.99,"0 .. 20,000",Tadej Fius,MediaAtlas,0.00E+00,2.00E+04,0,20.0K
Soldier Killer,2017-08-15,3.99,"0 .. 20,000",SQUIX Games,SQUIX Games,0.00E+00,2.00E+04,0,20.0K
Cruentis The Murderer vol.1,2017-09-20,7.99,"0 .. 20,000",Anunnaki s.r.l.,Anunnaki s.r.l.,0.00E+00,2.00E+04,0,20.0K
Operation Red Dragon,2017-12-15,9.99,"0 .. 20,000",PBFP,PBFP,0.00E+00,2.00E+04,0,20.0K
Rocket Armor,2017-12-08,0.0,"0 .. 20,000",Illusion Foundry,Illusion Foundry,0.00E+00,2.00E+04,0,20.0K
Space Ball,2018-03-30,0.99,"0 .. 20,000",Heaven Bot,Heaven Bot,0.00E+00,2.00E+04,0,20.0K
Super Dashmatch,2018-05-31,9.99,"0 .. 20,000",BerlinGamesClub,hOSHI,0.00E+00,2.00E+04,0,20.0K
Asimov Laws,2018-05-16,9.99,"0 .. 20,000",Cuijin Technology,Cuijin Technology,0.00E+00,2.00E+04,0,20.0K
Space Survivors I: The Reckoning,2019-04-18,2.99,"0 .. 20,000","Maurice Fernitz, Enrico Prizibilla, Felix Gillmann",Big Games Productions,0.00E+00,2.00E+04,0,20.0K
VRetired,2018-12-07,4.99,"0 .. 20,000",Borisoft,Borisoft,0.00E+00,2.00E+04,0,20.0K
TowerHex,2020-04-01,9.99,"0 .. 20,000",TowerHex Games,TowerHex Games,0.00E+00,2.00E+04,0,20.0K
VoidGate,2022-06-15,14.99,"0 .. 20,000",Version 5 Games,Version 5 Games,0.00E+00,2.00E+04,0,20.0K
GRITS Racing,2019-03-04,0.0,"0 .. 20,000",Muddy Desert,Muddy Desert,0.00E+00,2.00E+04,0,20.0K
Rasen no Sora,2019-04-08,14.99,"0 .. 20,000",Gorilla Cafe,Gorilla Cafe,0.00E+00,2.00E+04,0,20.0K
Life Combinations,2019-04-26,0.99,"0 .. 20,000",Awix Studio,Awix Studio,0.00E+00,2.00E+04,0,20.0K
Beasts Shall Rise,2022-10-26,15.99,"0 .. 20,000",Goblin Games Ltd,Goblin Games Ltd,0.00E+00,2.00E+04,0,20.0K
Tunnel Vision,2019-10-08,4.99,"0 .. 20,000",Punji Studios,Punji Studios,0.00E+00,2.00E+04,0,20.0K
DangerSpace,2019-09-05,24.99,"0 .. 20,000",VirtualBG,VirtualBG,0.00E+00,2.00E+04,0,20.0K
Meditation Journey: VR Zen Garden,2020-06-30,14.99,"0 .. 20,000",Tazzo,Calming Winds Productions,0.00E+00,2.00E+04,0,20.0K
LithoBreak,2021-02-23,19.99,"0 .. 20,000",Tau Ceti Labs,Tau Ceti Labs,0.00E+00,2.00E+04,0,20.0K
